Region,Year,Sex,Age,artstart_n,cd4_artstart_n,cd4_art_0_200,cd4_art_201_350,cd4_art_351_500,cd4_art_501_up,cd4_art_median,cd4_art_p25,cd4_art_p75,artstart_30d_n,cd4_art_perc,artstart_9mo_n,vl_6mo_n,vl_6mo_perc,vl_supp_6mo_n,vl_supp_6mo_perc,artstart_15mo_n,vl_12mo_n,vl_12mo_perc,vl_supp_12mo_n,vl_supp_12mo_perc
NA-ACCORD,ALL,Female,20-49,5708,5368,1492,1321,1032,1523,335,179.75,535.25,5698,94.2,5270,4474,84.9,3911,87.4,4909,3996,81.4,3438,86
NA-ACCORD,ALL,Female,50+,2027,1847,516,412,319,600,349,175,582.5,2022,91.3,1854,1546,83.4,1410,91.2,1772,1487,83.9,1357,91.3
NA-ACCORD,2006,Male,20-49,1593,1524,720,454,182,168,215,75,338,1587,96,1541,1371,89,1198,87.4,1467,1280,87.3,1127,88
NA-ACCORD,2006,Male,50+,649,586,282,148,66,90,209,83.25,362.75,644,91,605,536,88.6,486,90.7,591,505,85.4,457,90.5
NA-ACCORD,2006,Female,20-49,340,336,165,98,45,28,206.5,76,329,340,98.8,320,283,88.4,239,84.5,305,263,86.2,210,79.8
NA-ACCORD,2006,Female,50+,62,60,32,15,*,*,180,55.5,308,61,98.4,60,54,90,46,85.2,59,55,93.2,49,89.1
NA-ACCORD,2007,Male,20-49,1806,1727,789,505,242,191,221,80.5,351,1803,95.8,1719,1523,88.6,1318,86.5,1633,1407,86.2,1220,86.7
NA-ACCORD,2007,Male,50+,800,731,304,227,97,103,238,107.5,375.5,795,91.9,756,657,86.9,582,88.6,736,626,85.1,560,89.5
NA-ACCORD,2007,Female,20-49,394,374,150,127,51,46,245.5,119,354,394,94.9,376,323,85.9,257,79.6,347,289,83.3,217,75.1
NA-ACCORD,2007,Female,50+,85,82,34,30,*,*,228.5,123.5,323.25,85,96.5,80,78,97.5,72,92.3,80,73,91.2,67,91.8
NA-ACCORD,2008,Male,20-49,1921,1815,619,664,296,236,272,138,374,1917,94.7,1826,1614,88.4,1440,89.2,1752,1477,84.3,1318,89.2
NA-ACCORD,2008,Male,50+,863,771,302,215,114,140,258,115,416.5,856,90.1,811,700,86.3,625,89.3,789,665,84.3,594,89.3
NA-ACCORD,2008,Female,20-49,463,429,175,132,58,64,244,107,394,463,92.7,438,361,82.4,290,80.3,414,329,79.5,249,75.7
NA-ACCORD,2008,Female,50+,124,110,31,41,19,19,296.5,170,402.25,124,88.7,111,94,84.7,86,91.5,107,90,84.1,81,90
NA-ACCORD,2009,Male,20-49,2486,2402,730,745,566,361,300,162,417,2485,96.7,2391,2112,88.3,1944,92,2297,1965,85.5,1782,90.7
NA-ACCORD,2009,Male,50+,997,906,315,241,173,177,286.5,141.75,449.75,993,91.2,953,850,89.2,804,94.6,931,794,85.3,751,94.6
NA-ACCORD,2009,Female,20-49,498,476,141,174,83,78,282,159.25,408.5,498,95.6,475,413,86.9,354,85.7,450,359,79.8,308,85.8
NA-ACCORD,2009,Female,50+,135,124,45,38,25,16,297.5,135.5,387.5,134,92.5,132,120,90.9,105,87.5,129,105,81.4,96,91.4
NA-ACCORD,2010,Male,20-49,2891,2768,734,784,718,532,330,188,458,2889,95.8,2788,2455,88.1,2258,92,2674,2296,85.9,2100,91.5
NA-ACCORD,2010,Male,50+,1220,1100,346,305,227,222,299,156.25,457.5,1212,90.8,1163,997,85.7,939,94.2,1141,946,82.9,890,94.1
NA-ACCORD,2010,Female,20-49,576,549,165,162,122,100,308,157,453,575,95.5,551,472,85.7,409,86.7,519,432,83.2,370,85.6
NA-ACCORD,2010,Female,50+,184,173,59,49,35,30,287,165,432,184,94,176,156,88.6,140,89.7,171,146,85.4,126,86.3
NA-ACCORD,2011,Male,20-49,2674,2477,531,592,644,710,374,226,525,2671,92.7,2567,2190,85.3,2018,92.1,2463,1975,80.2,1829,92.6
NA-ACCORD,2011,Male,50+,1224,1071,295,251,237,288,340,180,516,1217,88,1167,987,84.6,902,91.4,1141,958,84,880,91.9
NA-ACCORD,2011,Female,20-49,565,521,132,115,120,154,367,197,545,565,92.2,543,470,86.6,408,86.8,511,415,81.2,356,85.8
NA-ACCORD,2011,Female,50+,215,199,59,43,43,54,341,179.5,515,215,92.6,214,172,80.4,148,86,205,174,84.9,156,89.7
NA-ACCORD,2012,Male,20-49,2583,2422,465,535,626,796,394,253,562,2582,93.8,2482,2117,85.3,1928,91.1,2371,1984,83.7,1793,90.4
NA-ACCORD,2012,Male,50+,1111,976,262,224,184,306,351.5,183,560.25,1104,88.4,1063,879,82.7,825,93.9,1031,847,82.2,784,92.6
NA-ACCORD,2012,Female,20-49,445,429,103,92,97,137,384,211,562,444,96.6,425,363,85.4,316,87.1,406,341,84,301,88.3
NA-ACCORD,2012,Female,50+,160,155,38,41,27,49,346,202.5,571.5,160,96.9,155,134,86.5,124,92.5,152,136,89.5,120,88.2
NA-ACCORD,2013,Male,20-49,2659,2467,440,463,576,988,435,272,618,2656,92.9,2552,2085,81.7,1899,91.1,2424,1930,79.6,1766,91.5
NA-ACCORD,2013,Male,50+,1118,981,232,190,196,363,400,212,605,1116,87.9,1065,850,79.8,797,93.8,1028,846,82.3,786,92.9
NA-ACCORD,2013,Female,20-49,479,445,93,78,93,181,432,240,620,479,92.9,454,367,80.8,326,88.8,424,345,81.4,308,89.3
NA-ACCORD,2013,Female,50+,170,156,39,32,36,49,372.5,204.5,572.25,170,91.8,158,127,80.4,116,91.3,151,129,85.4,115,89.1
NA-ACCORD,2014,Male,20-49,2495,2347,452,415,544,936,436,257,617,2493,94.1,2338,1940,83,1771,91.3,2146,1685,78.5,1555,92.3
NA-ACCORD,2014,Male,50+,1075,955,237,166,174,378,411,203.5,633.5,1070,89.3,1011,827,81.8,776,93.8,962,780,81.1,721,92.4
NA-ACCORD,2014,Female,20-49,391,377,93,70,81,133,395,202,606,391,96.4,370,326,88.1,281,86.2,342,291,85.1,251,86.3
NA-ACCORD,2014,Female,50+,162,152,40,24,27,61,403,176,644.25,161,94.4,151,130,86.1,119,91.5,142,117,82.4,108,92.3
NA-ACCORD,2015,Male,20-49,1969,1819,318,350,428,723,432,269,630.5,1967,92.5,1744,1402,80.4,1314,93.7,1600,1216,76,1146,94.2
NA-ACCORD,2015,Male,50+,900,789,196,153,161,279,395,203,604,898,87.9,822,672,81.8,641,95.4,788,605,76.8,571,94.4
NA-ACCORD,2015,Female,20-49,346,324,64,50,75,135,457.5,256.75,645.75,346,93.6,281,236,84,217,91.9,252,203,80.6,182,89.7
NA-ACCORD,2015,Female,50+,134,123,24,17,24,58,461,240,656.5,134,91.8,107,91,85,85,93.4,103,82,79.6,73,89
NA-ACCORD,2016,Male,20-49,1577,1439,225,275,319,620,450,276,660,1577,91.2,1512,1217,80.5,1162,95.5,1435,1066,74.3,994,93.2
NA-ACCORD,2016,Male,50+,775,654,152,118,107,277,444.5,220.5,677.5,773,84.6,741,585,78.9,547,93.5,721,562,77.9,531,94.5
NA-ACCORD,2016,Female,20-49,241,224,45,44,49,86,410.5,224,616.75,240,93.3,228,191,83.8,183,95.8,222,167,75.2,157,94
NA-ACCORD,2016,Female,50+,139,119,27,27,15,50,403,222,703.5,139,85.6,132,106,80.3,101,95.3,126,101,80.2,97,96
NA-ACCORD,2017,Male,20-49,1526,1396,225,232,293,646,471,288,656.25,1526,91.5,1448,1161,80.2,1096,94.4,1369,1036,75.7,975,94.1
NA-ACCORD,2017,Male,50+,745,634,148,116,122,248,420.5,211.25,656.75,742,85.4,709,565,79.7,538,95.2,678,533,78.6,504,94.6
NA-ACCORD,2017,Female,20-49,228,208,39,41,41,87,461.5,255,632.5,228,91.2,216,169,78.2,154,91.1,199,161,80.9,147,91.3
NA-ACCORD,2017,Female,50+,108,87,15,13,*,51,575,259.5,769,108,80.6,102,69,67.6,61,88.4,98,77,78.6,71,92.2
NA-ACCORD,2018,Male,20-49,1411,1295,215,230,263,587,464,284.5,680,1409,91.9,1336,1106,82.8,1066,96.4,1262,991,78.5,954,96.3
NA-ACCORD,2018,Male,50+,808,685,128,134,140,283,423,251,663,802,85.4,760,592,77.9,569,96.1,733,555,75.7,531,95.7
NA-ACCORD,2018,Female,20-49,251,230,39,49,45,97,424,275.25,639.25,251,91.6,239,209,87.4,200,95.7,217,175,80.6,166,94.9
NA-ACCORD,2018,Female,50+,126,111,26,17,17,51,456,215,693.5,126,88.1,114,92,80.7,90,97.8,113,99,87.6,95,96
NA-ACCORD,2019,Male,20-49,1257,1140,180,228,241,491,452,280,664.25,1257,90.7,1175,931,79.2,898,96.5,1110,795,71.6,771,97
NA-ACCORD,2019,Male,50+,737,601,117,125,107,252,422,239,680,731,82.2,694,529,76.2,515,97.4,638,479,75.1,460,96
NA-ACCORD,2019,Female,20-49,226,215,43,45,36,91,430,227,680,226,95.1,213,172,80.8,164,95.3,195,136,69.7,131,96.3
NA-ACCORD,2019,Female,50+,99,91,27,*,*,45,468,186.5,823,99,91.9,94,69,73.4,67,97.1,87,61,70.1,61,100
NA-ACCORD,2020,Male,20-49,746,625,100,110,129,286,464,290,671,742,84.2,491,415,84.5,403,97.1,386,332,86,316,95.2
NA-ACCORD,2020,Male,50+,399,303,84,62,44,113,378,180.5,664,384,78.9,158,123,77.8,119,96.7,124,110,88.7,106,96.4
NA-ACCORD,2020,Female,20-49,143,121,26,23,18,54,463,233,695,143,84.6,110,92,83.6,87,94.6,95,79,83.2,74,93.7
NA-ACCORD,2020,Female,50+,66,55,11,*,*,30,518,228,744.5,66,83.3,52,41,78.8,39,95.1,47,40,85.1,40,100
NA-ACCORD,2021,Male,20-49,443,408,96,82,77,153,407,214.25,592.25,440,92.7,106,93,87.7,90,96.8,**,**,**,**,**
NA-ACCORD,2021,Male,50+,143,120,25,20,23,52,422.5,257,766,137,87.6,31,28,90.3,27,96.4,**,**,**,**,**
NA-ACCORD,2021,Female,20-49,122,110,19,21,18,52,463,257,648.5,115,95.7,31,27,87.1,26,96.3,**,**,**,**,**
NA-ACCORD,2021,Female,50+,58,50,*,*,*,23,450.5,282.25,695.5,56,89.3,16,13,81.2,11,84.6,**,**,**,**,**
SA,ALL,ALL,ALL,921922,410155,188727,119779,53451,48198,218,114,350,895572,45.8,686073,176606,25.7,160650,91,597631,140645,23.5,126222,89.7
SA,2006,ALL,ALL,25964,14820,11170,2853,484,313,127,62,199,25173,58.9,19639,3678,18.7,3287,89.4,17808,3502,19.7,3082,88
SA,2007,ALL,ALL,34613,21542,15340,4851,877,474,140,72,214,33554,64.2,26557,4195,15.8,3802,90.6,24224,3861,15.9,3422,88.6
SA,2008,ALL,ALL,38119,26281,18111,6516,1029,625,148,76,222,36964,71.1,29856,5302,17.8,4810,90.7,27290,5127,18.8,4515,88.1
SA,2009,ALL,ALL,45005,30682,20420,8157,1291,814,154,82,230,43759,70.1,35810,6602,18.4,5898,89.3,32638,5913,18.1,5185,87.7
SA,2010,ALL,ALL,47574,31249,19107,9547,1562,1033,167,91,250,46375,67.4,38232,7542,19.7,6686,88.7,34749,6728,19.4,5816,86.4
SA,2011,ALL,ALL,52012,32865,16981,12299,2245,1340,195,107,287,50867,64.6,42006,8009,19.1,7025,87.7,38406,6594,17.2,5765,87.4
SA,2012,ALL,ALL,50118,29015,13294,11888,2343,1490,217,117,307,48869,59.4,40607,8635,21.3,7712,89.3,37375,6737,18,5918,87.8
SA,2013,ALL,ALL,60928,32477,13348,12143,3865,3121,239,130,337,59640,54.5,49985,8637,17.3,7819,90.5,46190,6540,14.2,5819,89
SA,2014,ALL,ALL,65509,36046,12899,11512,7068,4567,269,146,396,64104,56.2,54194,8660,16,7969,92,50114,6847,13.7,6216,90.8
SA,2015,ALL,ALL,65322,32841,11274,9449,7922,4196,284,148,420,63959,51.3,53326,11332,21.3,10475,92.4,48785,9182,18.8,8329,90.7
SA,2016,ALL,ALL,69424,30274,9819,7796,6741,5918,301,157,460,68026,44.5,56317,15950,28.3,14602,91.5,50975,13990,27.4,12628,90.3
SA,2017,ALL,ALL,88072,30140,8559,7458,5996,8127,334,178,519,86363,34.9,67566,19346,28.6,17601,91,58186,16638,28.6,14903,89.6
SA,2018,ALL,ALL,80304,22496,6451,5732,4464,5849,325,179,510,78280,28.7,53835,18185,33.8,16315,89.7,43890,16496,37.6,14698,89.1
SA,2019,ALL,ALL,63820,14354,4187,3588,2817,3762,325,175,514,61784,23.2,45427,19355,42.6,17654,91.2,36482,13221,36.2,12000,90.8
SA,2020,ALL,ALL,55967,9500,2751,2284,1897,2568,331,176,523,54019,17.6,34613,14280,41.3,13189,92.4,26340,9474,36,8780,92.7
SA,2021,ALL,ALL,40858,6751,2038,1659,1274,1780,319,166.5,512,39108,17.3,24551,10581,43.1,9876,93.3,17389,6974,40.1,6525,93.6
SA,2022,ALL,ALL,26699,6039,1994,1397,1070,1578,307,167,511.5,24049,25.1,11413,5342,46.8,5009,93.8,6699,2730,40.8,2539,93
SA,2023,ALL,ALL,11216,2763,981,643,501,638,289,136,484,10471,26.4,2139,975,45.6,921,94.5,**,**,**,**,**
SA,2024,ALL,ALL,398,20,*,*,*,*,354.5,266,502,208,9.6,0,0,,0,,**,**,**,**,**
SA,ALL,Male,ALL,348158,157612,83815,44217,17554,12026,188,93,310,337476,46.7,253859,64505,25.4,58046,90,219113,50249,22.9,44239,88
SA,ALL,Female,ALL,573764,252543,104912,75562,35897,36172,239,130,380,558096,45.3,432214,112101,25.9,102604,91.5,378518,90396,23.9,81983,90.7
SA,ALL,ALL,20-49,834002,371595,170043,108335,48940,44277,219,115,351,810695,45.8,620525,159019,25.6,144510,90.9,540094,126397,23.4,113223,89.6
SA,ALL,ALL,50+,87920,38560,18684,11444,4511,3921,207,111,332,84877,45.4,65548,17587,26.8,16140,91.8,57537,14248,24.8,12999,91.2
SA,2006,Male,ALL,10148,5883,4483,1149,155,96,119,56,197,9776,60.2,7441,1348,18.1,1188,88.1,6694,1248,18.6,1069,85.7
SA,2006,Female,ALL,15816,8937,6687,1704,329,217,131,66,201,15397,58,12198,2330,19.1,2099,90.1,11114,2254,20.3,2013,89.3
SA,2007,Male,ALL,13641,8543,6282,1813,304,144,130,63,205,13099,65.2,10119,1478,14.6,1325,89.6,9118,1358,14.9,1175,86.5
SA,2007,Female,ALL,20972,12999,9058,3038,573,330,147,79,221,20455,63.5,16438,2717,16.5,2477,91.2,15106,2503,16.6,2247,89.8
SA,2008,Male,ALL,15070,10336,7424,2350,388,174,136,66,211,14511,71.2,11430,1926,16.9,1712,88.9,10354,1883,18.2,1627,86.4
SA,2008,Female,ALL,23049,15945,10687,4166,641,451,156,83,228,22453,71,18426,3376,18.3,3098,91.8,16936,3244,19.2,2888,89
SA,2009,Male,ALL,17651,11893,8473,2753,418,249,136,68,214,17085,69.6,13695,2496,18.2,2209,88.5,12368,2203,17.8,1911,86.7
SA,2009,Female,ALL,27354,18789,11947,5404,873,565,164,92,240,26674,70.4,22115,4106,18.6,3689,89.8,20270,3710,18.3,3274,88.2
SA,2010,Male,ALL,18395,11886,7964,3157,503,262,150,77.25,230,17845,66.6,14368,2698,18.8,2366,87.7,12943,2381,18.4,1999,84
SA,2010,Female,ALL,29179,19363,11143,6390,1059,771,179,101,262,28530,67.9,23864,4844,20.3,4320,89.2,21806,4347,19.9,3817,87.8
SA,2011,Male,ALL,19776,12608,7289,4189,766,364,174,89,265,19272,65.4,15484,2901,18.7,2491,85.9,14017,2345,16.7,1994,85
SA,2011,Female,ALL,32236,20257,9692,8110,1479,976,208,120,298,31595,64.1,26522,5108,19.3,4534,88.8,24389,4249,17.4,3771,88.8
SA,2012,Male,ALL,18987,11161,5906,4010,820,425,189,95,289,18478,60.4,14957,3098,20.7,2713,87.6,13662,2436,17.8,2056,84.4
SA,2012,Female,ALL,31131,17854,7388,7878,1523,1065,233,135.25,316,30391,58.7,25650,5537,21.6,4999,90.3,23713,4301,18.1,3862,89.8
SA,2013,Male,ALL,22690,12249,6111,4229,1227,682,201,102,306,22128,55.4,18151,3111,17.1,2769,89,16621,2286,13.8,1981,86.7
SA,2013,Female,ALL,38238,20228,7237,7914,2638,2439,259,151,351,37512,53.9,31834,5526,17.4,5050,91.4,29569,4254,14.4,3838,90.2
SA,2014,Male,ALL,23201,13331,5989,4318,2116,908,223,114,339,22641,58.9,18873,3066,16.2,2787,90.9,17322,2291,13.2,2040,89
SA,2014,Female,ALL,42308,22715,6910,7194,4952,3659,298,171,431,41463,54.8,35321,5594,15.8,5182,92.6,32792,4556,13.9,4176,91.7
SA,2015,Male,ALL,23423,12450,5470,3655,2437,888,230,114,361,22914,54.3,18906,3952,20.9,3598,91,17083,3261,19.1,2889,88.6
SA,2015,Female,ALL,41899,20391,5804,5794,5485,3308,316,179,447,41045,49.7,34420,7380,21.4,6877,93.2,31702,5921,18.7,5440,91.9
SA,2016,Male,ALL,24982,11214,4691,2995,2143,1385,242,119,394,24423,45.9,20012,5858,29.3,5264,89.9,17898,5101,28.5,4510,88.4
SA,2016,Female,ALL,44442,19060,5128,4801,4598,4533,339,188,492,43603,43.7,36305,10092,27.8,9338,92.5,33077,8889,26.9,8118,91.3
SA,2017,Male,ALL,32706,11523,4219,3109,2052,2143,272,139,439,32047,36,24710,6999,28.3,6310,90.2,21153,5981,28.3,5234,87.5
SA,2017,Female,ALL,55366,18617,4340,4349,3944,5984,373,213,562,54316,34.3,42856,12347,28.8,11291,91.4,37033,10657,28.8,9669,90.7
SA,2018,Male,ALL,30133,8727,3278,2430,1494,1525,262,136,425,29386,29.7,20100,6800,33.8,6046,88.9,16343,6083,37.2,5350,88
SA,2018,Female,ALL,50171,13769,3173,3302,2970,4324,369,213,558,48894,28.2,33735,11385,33.7,10269,90.2,27547,10413,37.8,9348,89.8
SA,2019,Male,ALL,25998,5778,2182,1528,1048,1020,265,133,428,25204,22.9,18219,7617,41.8,6948,91.2,14665,4944,33.7,4468,90.4
SA,2019,Female,ALL,37822,8576,2005,2060,1769,2742,370,212,568,36580,23.4,27208,11738,43.1,10706,91.2,21817,8277,37.9,7532,91
SA,2020,Male,ALL,21175,3721,1421,980,654,666,265,134,427,20411,18.2,12955,5014,38.7,4591,91.6,9803,3112,31.7,2858,91.8
SA,2020,Female,ALL,34792,5779,1330,1304,1243,1902,377,215,575,33608,17.2,21658,9266,42.8,8598,92.8,16537,6362,38.5,5922,93.1
SA,2021,Male,ALL,15140,2585,1032,657,445,451,257,121,429,14502,17.8,8849,3529,39.9,3283,93,6274,2216,35.3,2050,92.5
SA,2021,Female,ALL,25718,4166,1006,1002,829,1329,360,207,562,24606,16.9,15702,7052,44.9,6593,93.5,11115,4758,42.8,4475,94.1
SA,2022,Male,ALL,10290,2524,1056,609,393,466,246,128,430.25,9387,26.9,4689,2199,46.9,2053,93.4,2762,1087,39.4,997,91.7
SA,2022,Female,ALL,16409,3515,938,788,677,1112,356,200,568,14662,24,6724,3143,46.7,2956,94.1,3937,1643,41.7,1542,93.9
SA,2023,Male,ALL,4608,1195,544,283,190,178,225,98,399,4286,27.9,901,415,46.1,393,94.7,**,**,**,**,**
SA,2023,Female,ALL,6608,1568,437,360,311,460,343,182,536.25,6185,25.4,1238,560,45.2,528,94.3,**,**,**,**,**
SA,2024,Male,ALL,144,*,*,*,*,*,*,*,*,81,*,0,0,,0,,**,**,**,**,**
SA,2024,Female,ALL,254,15,*,*,*,*,380,263.5,599,127,11.8,0,0,,0,,**,**,**,**,**
SA,2006,ALL,20-49,23476,13475,10183,2586,429,277,126,61,199,22762,59.2,17788,3368,18.9,3003,89.2,16145,3220,19.9,2827,87.8
SA,2006,ALL,50+,2488,1345,987,267,55,36,130,71,205,2411,55.8,1851,310,16.7,284,91.6,1663,282,17,255,90.4
SA,2007,ALL,20-49,31300,19571,13964,4392,789,426,140,71,214,30365,64.5,24055,3847,16,3485,90.6,21936,3531,16.1,3130,88.6
SA,2007,ALL,50+,3313,1971,1376,459,88,48,146,83,220,3189,61.8,2502,348,13.9,317,91.1,2288,330,14.4,292,88.5
SA,2008,ALL,20-49,34126,23704,16364,5857,914,569,147.5,75,221,33099,71.6,26790,4772,17.8,4330,90.7,24494,4616,18.8,4068,88.1
SA,2008,ALL,50+,3993,2577,1747,659,115,56,151,80,228,3865,66.7,3066,530,17.3,480,90.6,2796,511,18.3,447,87.5
SA,2009,ALL,20-49,40443,27820,18522,7367,1180,751,153,81,230,39333,70.7,32180,5853,18.2,5228,89.3,29286,5224,17.8,4568,87.4
SA,2009,ALL,50+,4562,2862,1898,790,111,63,157,93,230,4426,64.7,3630,749,20.6,670,89.5,3352,689,20.6,617,89.6
SA,2010,ALL,20-49,42667,28177,17247,8597,1412,921,167,91,249,41601,67.7,34339,6737,19.6,5973,88.7,31184,6017,19.3,5197,86.4
SA,2010,ALL,50+,4907,3072,1860,950,150,112,170,95,255,4774,64.3,3893,805,20.7,713,88.6,3565,711,19.9,619,87.1
SA,2011,ALL,20-49,46398,29401,15179,10995,2029,1198,195,107,287,45408,64.7,37546,7083,18.9,6201,87.5,34364,5865,17.1,5114,87.2
SA,2011,ALL,50+,5614,3464,1802,1304,216,142,192,105,285,5459,63.5,4460,926,20.8,824,89,4042,729,18,651,89.3
SA,2012,ALL,20-49,45017,26134,11926,10724,2132,1352,218,118,308,43932,59.5,36563,7745,21.2,6903,89.1,33657,6020,17.9,5269,87.5
SA,2012,ALL,50+,5101,2881,1368,1164,211,138,211,113,304,4937,58.4,4044,890,22,809,90.9,3718,717,19.3,649,90.5
SA,2013,ALL,20-49,54941,29370,11993,10994,3508,2875,240,130,337,53807,54.6,45147,7759,17.2,7017,90.4,41691,5889,14.1,5235,88.9
SA,2013,ALL,50+,5987,3107,1355,1149,357,246,231,126.5,329,5833,53.3,4838,878,18.1,802,91.3,4499,651,14.5,584,89.7
SA,2014,ALL,20-49,59454,32692,11586,10373,6479,4254,272,147,399,58203,56.2,49233,7786,15.8,7166,92,45472,6179,13.6,5599,90.6
SA,2014,ALL,50+,6055,3354,1313,1139,589,313,246,135,360,5901,56.8,4961,874,17.6,803,91.9,4642,668,14.4,617,92.4
SA,2015,ALL,20-49,59399,29790,10095,8553,7229,3913,287,150,422,58183,51.2,48456,10276,21.2,9493,92.4,44305,8267,18.7,7480,90.5
SA,2015,ALL,50+,5923,3051,1179,896,693,283,257,133.5,391,5776,52.8,4870,1056,21.7,982,93,4480,915,20.4,849,92.8
SA,2016,ALL,20-49,62813,27369,8786,7036,6146,5401,304,158,462,61598,44.4,50938,14275,28,13069,91.6,46087,12429,27,11194,90.1
SA,2016,ALL,50+,6611,2905,1033,760,595,517,276,148,442,6428,45.2,5379,1675,31.1,1533,91.5,4888,1561,31.9,1434,91.9
SA,2017,ALL,20-49,80109,27517,7753,6812,5534,7418,336,179,519,78602,35,61346,17364,28.3,15759,90.8,52778,14889,28.2,13298,89.3
SA,2017,ALL,50+,7963,2623,806,646,462,709,314,167,517.5,7761,33.8,6220,1982,31.9,1842,92.9,5408,1749,32.3,1605,91.8
SA,2018,ALL,20-49,73401,20615,5837,5247,4125,5406,327,181,512,71578,28.8,48951,16281,33.3,14574,89.5,39717,14808,37.3,13158,88.9
SA,2018,ALL,50+,6903,1881,614,485,339,443,297,157,485,6702,28.1,4884,1904,39,1741,91.4,4173,1688,40.5,1540,91.2
SA,2019,ALL,20-49,57964,13247,3771,3345,2626,3505,328,179,516,56146,23.6,41066,17512,42.6,15974,91.2,33033,11928,36.1,10800,90.5
SA,2019,ALL,50+,5856,1107,416,243,191,257,284,128,485,5638,19.6,4361,1843,42.3,1680,91.2,3449,1293,37.5,1200,92.8
SA,2020,ALL,20-49,51219,8800,2502,2109,1794,2395,334,179,524,49487,17.8,31709,13136,41.4,12116,92.2,24122,8674,36,8026,92.5
SA,2020,ALL,50+,4748,700,249,175,103,173,275,154.75,497,4532,15.4,2904,1144,39.4,1073,93.8,2218,800,36.1,754,94.2
SA,2021,ALL,20-49,37289,6173,1810,1530,1175,1658,323,172,516,35727,17.3,22393,9673,43.2,9012,93.2,15779,6365,40.3,5959,93.6
SA,2021,ALL,50+,3569,578,228,129,99,122,263,114,471,3381,17.1,2158,908,42.1,864,95.2,1610,609,37.8,566,92.9
SA,2022,ALL,20-49,23830,5341,1717,1241,977,1406,310,174,513,21525,24.8,10135,4708,46.5,4411,93.7,5964,2396,40.2,2229,93
SA,2022,ALL,50+,2869,698,277,156,93,172,277,134,483.25,2524,27.7,1278,634,49.6,598,94.3,735,334,45.4,310,92.8
SA,2023,ALL,20-49,9801,2380,806,570,457,547,299,148,484,9153,26,1890,844,44.7,796,94.3,**,**,**,**,**
SA,2023,ALL,50+,1415,383,175,73,44,91,235,93,476,1318,29.1,249,131,52.6,125,95.4,**,**,**,**,**
SA,2024,ALL,20-49,355,19,*,*,*,*,365,284.5,514,186,10.2,0,0,,0,,**,**,**,**,**
SA,2024,ALL,50+,43,*,*,*,*,*,*,*,*,22,*,0,0,,0,,**,**,**,**,**
SA,ALL,Male,20-49,304455,138799,73700,38970,15570,10559,189,93,311,295404,47,221773,55489,25,49925,90,191105,43097,22.6,37871,87.9
SA,ALL,Male,50+,43703,18813,10115,5247,1984,1467,186,95,306,42072,44.7,32086,9016,28.1,8121,90.1,28008,7152,25.5,6368,89
SA,ALL,Female,20-49,529547,232796,96343,69365,33370,33718,240,131,382,515291,45.2,398752,103530,26,94585,91.4,348989,83300,23.9,75352,90.5
SA,ALL,Female,50+,44217,19747,8569,6197,2527,2454,228,129,352,42805,46.1,33462,8571,25.6,8019,93.6,29529,7096,24,6631,93.4
SA,2006,Male,20-49,8817,5155,3941,1006,130,78,119,55,196,8483,60.8,6436,1178,18.3,1033,87.7,5795,1101,19,940,85.4
SA,2006,Male,50+,1331,728,542,143,25,18,119.5,64,204,1293,56.3,1005,170,16.9,155,91.2,899,147,16.4,129,87.8
SA,2006,Female,20-49,14659,8320,6242,1580,299,199,130.5,64.75,200,14279,58.3,11352,2190,19.3,1970,90,10350,2119,20.5,1887,89.1
SA,2006,Female,50+,1157,617,445,124,30,18,140,80,211,1118,55.2,846,140,16.5,129,92.1,764,135,17.7,126,93.3
SA,2007,Male,20-49,11894,7514,5536,1593,263,122,128,61,205,11429,65.7,8812,1278,14.5,1142,89.4,7944,1173,14.8,1017,86.7
SA,2007,Male,50+,1747,1029,746,220,41,22,137,72,207,1670,61.6,1307,200,15.3,183,91.5,1174,185,15.8,158,85.4
SA,2007,Female,20-49,19406,12057,8428,2799,526,304,146,78,220,18936,63.7,15243,2569,16.9,2343,91.2,13992,2358,16.9,2113,89.6
SA,2007,Female,50+,1566,942,630,239,47,26,160.5,94,237,1519,62,1195,148,12.4,134,90.5,1114,145,13,134,92.4
SA,2008,Male,20-49,12988,9010,6487,2044,330,149,135,65,211,12515,72,9862,1654,16.8,1472,89,8940,1618,18.1,1402,86.7
SA,2008,Male,50+,2082,1326,937,306,58,25,140,71,214.75,1996,66.4,1568,272,17.3,240,88.2,1414,265,18.7,225,84.9
SA,2008,Female,20-49,21138,14694,9877,3813,584,420,155,82,227,20584,71.4,16928,3118,18.4,2858,91.7,15554,2998,19.3,2666,88.9
SA,2008,Female,50+,1911,1251,810,353,57,31,159,87.5,241.5,1869,66.9,1498,258,17.2,240,93,1382,246,17.8,222,90.2
SA,2009,Male,20-49,15321,10466,7459,2415,371,221,135,67,214,14837,70.5,11867,2114,17.8,1876,88.7,10681,1838,17.2,1597,86.9
SA,2009,Male,50+,2330,1427,1014,338,47,28,141,80.5,213.5,2248,63.5,1828,382,20.9,333,87.2,1687,365,21.6,314,86
SA,2009,Female,20-49,25122,17354,11063,4952,809,530,163,91,240,24496,70.8,20313,3739,18.4,3352,89.6,18605,3386,18.2,2971,87.7
