Region,Year,Sex,artstart_n,recartage_mean,recartage_sd,recartage_median,recartage_p25,recartage_p75
CA,ALL,Female,27142,36.7478078255103,9.95462004348842,35,29,43
CA,2006,Male,507,40.7376725838264,8.2601130318962,40,35,46
CA,2006,Female,973,36.0041109969168,8.83374000671208,35,30,41
CA,2007,Male,728,40.7032967032967,8.96239369859874,40,34,47
CA,2007,Female,1678,36.1907032181168,9.20024937342546,35,29,42
CA,2008,Male,786,40.0979643765903,8.88808382428514,40,34,46
CA,2008,Female,1473,35.6625933469111,9.06255842910005,34,29,41
CA,2009,Male,791,40.0758533501896,9.08869438194178,40,34,46
CA,2009,Female,1543,35.8930654569021,8.86274338810601,35,29,41
CA,2010,Male,946,41.1511627906977,8.75410009582692,41,35,47
CA,2010,Female,2018,36.0887016848365,9.37054961030642,34,29,42
CA,2011,Male,1039,40.8527430221367,8.98738516920041,40,34,47
CA,2011,Female,2177,35.3008727606798,9.10159994070195,34,29,40
CA,2012,Male,912,40.6480263157895,9.1571243818963,40,34,47
CA,2012,Female,1962,35.9128440366973,9.26019419325673,35,29,41
CA,2013,Male,1408,42.3473011363636,10.0736862194102,41,35,49
CA,2013,Female,2540,37.596062992126,10.0088491887662,36,30,44
CA,2014,Male,964,40.8775933609959,9.69383634859122,40,34,47
CA,2014,Female,1914,36.4487983281087,9.8549194116766,35,29,42
CA,2015,Male,1205,41.3560165975104,10.540708496792,41,34,48
CA,2015,Female,1962,37.1406727828746,10.2441678613645,36,29,43
CA,2016,Male,1710,41.0280701754386,10.0299333341107,40,34,47
CA,2016,Female,2826,38.069355980184,10.5598740644791,37,30,45
CA,2017,Male,1224,39.2042483660131,10.1813056328554,39,32,46
CA,2017,Female,1952,37.3253073770492,10.4751892517195,36,30,44
CA,2018,Male,1006,39.1978131212724,10.5889097709904,39,31,46
CA,2018,Female,1349,37.6656782802076,10.8970846870544,36,29,45
CA,2019,Male,714,38.7310924369748,10.9928173507528,38,30,46
CA,2019,Female,797,37.771643663739,11.3529731316577,36,29,45
CA,2020,Male,512,39.810546875,11.5406728248506,39,31,46.25
CA,2020,Female,738,37.2140921409214,11.4125887693174,36,28,44
CA,2021,Male,444,39.6306306306306,10.8679144866849,38,31,48
CA,2021,Female,605,37.0760330578512,10.712876951673,36,28,44
CA,2022,Male,311,41.3633440514469,10.6770695088763,41,34,49
CA,2022,Female,461,37.8112798264642,10.9221137213038,36,29,45
CA,2023,Male,110,43.5090909090909,11.5954320763623,43,36,50.75
CA,2023,Female,174,39,11.7993827603825,39,30,46.75
CN,ALL,ALL,38287,36.6044610442187,10.8126518416559,35,28,43
CN,2006,ALL,733,38.2523874488404,9.85317820088633,38,31,45
CN,2007,ALL,1448,38.6298342541436,10.5220205844945,38,31,45
CN,2008,ALL,1737,38.286701208981,10.2430493123579,37,31,45
CN,2009,ALL,1997,38.0886329494241,10.2311783292045,37,30,45
CN,2010,ALL,1896,37.3612869198312,10.3144113250096,36,29,44
CN,2011,ALL,2265,36.9501103752759,10.616661402026,35,29,43
CN,2012,ALL,2533,37.2277931306751,10.8942127658024,35,29,44
CN,2013,ALL,3137,36.5463818935288,10.5507384013902,35,28,43
CN,2014,ALL,3438,36.9406631762653,11.1134009081954,35,28,44
CN,2015,ALL,3179,36.7829506134004,11.1576358150037,35,28,44
CN,2016,ALL,3379,36.1343592778929,10.6627203820913,34,28,43
CN,2017,ALL,3063,35.7858308847535,11.2469969148079,33,27,42
CN,2018,ALL,2881,34.8059701492537,10.6328980010389,33,27,41
CN,2019,ALL,2249,34.96176078257,10.819505736011,32,27,41
CN,2020,ALL,1183,36.2223161453931,11.1944258417768,34,28,42
CN,2021,ALL,1036,35.8098455598456,10.6648340624686,34,28,42
CN,2022,ALL,1231,35.4216084484159,11.1383095305979,33,27,42
CN,2023,ALL,878,36.9111617312073,10.8856956664501,35,29,44
