Region,Year,Sex,Age,enroll_n,enroll_byyear,enroll_percbyyear,cd4_enroll_n,cd4_enr_0_200,cd4_enr_201_350,cd4_enr_351_500,cd4_enr_501_up,cd4_enr_median,cd4_enr_p25,cd4_enr_p75,enroll_3mo_n,cd4_enroll_perc
SA,2024,Female,ALL,233,371,62.8,14,*,*,*,*,372,241,630,114,12.3
SA,2006,ALL,20-49,33087,36386,90.9,15077,9529,3530,1193,825,154,75,258,32168,46.9
SA,2006,ALL,50+,3299,36386,9.1,1447,891,357,124,75,157,85,270,3204,45.2
SA,2007,ALL,20-49,40601,44412,91.4,19818,11648,4744,1955,1471,168,84,288,39566,50.1
SA,2007,ALL,50+,3811,44412,8.6,1869,1109,473,170,117,169,90,272,3692,50.6
SA,2008,ALL,20-49,41921,46360,90.4,22243,12729,5721,2187,1606,174,86,290,40836,54.5
SA,2008,ALL,50+,4439,46360,9.6,2259,1307,610,210,132,172,86,280,4296,52.6
SA,2009,ALL,20-49,48698,53750,90.6,25204,14068,6450,2660,2026,178,90,302,47512,53
SA,2009,ALL,50+,5052,53750,9.4,2523,1428,699,231,165,176,102,280,4919,51.3
SA,2010,ALL,20-49,50219,55461,90.5,25926,13295,7042,3108,2481,195,102,327,49170,52.7
SA,2010,ALL,50+,5242,55461,9.5,2677,1440,745,271,221,186,102,300,5106,52.4
SA,2011,ALL,20-49,51522,57260,90,27526,12836,8338,3521,2831,215,113,339,50583,54.4
SA,2011,ALL,50+,5738,57260,10,3010,1482,988,291,249,204,110,313,5582,53.9
SA,2012,ALL,20-49,49420,54599,90.5,25553,10841,8487,3389,2836,233,125,347,48398,52.8
SA,2012,ALL,50+,5179,54599,9.5,2630,1175,919,290,246,221,117,329,5019,52.4
SA,2013,ALL,20-49,52137,57493,90.7,24941,9991,7740,3707,3503,250,130,378,50968,48.9
SA,2013,ALL,50+,5356,57493,9.3,2441,1099,772,301,269,224,120,342,5186,47.1
SA,2014,ALL,20-49,56106,61389,91.4,25947,9274,7453,4783,4437,274,145,428,54956,47.2
SA,2014,ALL,50+,5283,61389,8.6,2332,961,745,351,275,238,124,363,5152,45.3
SA,2015,ALL,20-49,57128,62562,91.3,24970,8417,6878,5345,4330,289,151,439,56007,44.6
SA,2015,ALL,50+,5434,62562,8.7,2335,938,667,446,284,250,130,391,5302,44
SA,2016,ALL,20-49,60270,66360,90.8,24312,7753,6164,5186,5209,306,159,471,58963,41.2
SA,2016,ALL,50+,6090,66360,9.2,2423,881,629,472,441,273,146,443,5886,41.2
SA,2017,ALL,20-49,73920,80920,91.3,25343,7220,6481,5135,6507,329,178,507,72521,34.9
SA,2017,ALL,50+,7000,80920,8.7,2197,743,558,386,510,291,151,480,6790,32.4
SA,2018,ALL,20-49,71802,78331,91.7,21130,5901,5432,4294,5503,328,183,510,70130,30.1
SA,2018,ALL,50+,6529,78331,8.3,1864,639,492,345,388,289,152,463,6335,29.4
SA,2019,ALL,20-49,57560,62834,91.6,12929,3576,3330,2612,3411,330,185,516,55863,23.1
SA,2019,ALL,50+,5274,62834,8.4,1028,402,235,177,214,273,127,462,5068,20.3
SA,2020,ALL,20-49,47209,51338,92,8358,2359,2010,1708,2281,336,181,523,45572,18.3
SA,2020,ALL,50+,4129,51338,8,654,244,171,98,141,260,148,456,3929,16.6
SA,2021,ALL,20-49,34041,37266,91.3,5778,1709,1437,1106,1526,321,170,511,32412,17.8
SA,2021,ALL,50+,3225,37266,8.7,516,206,122,89,99,259,114,454,3044,17
SA,2022,ALL,20-49,22395,25090,89.3,4950,1615,1164,905,1266,307,172,506,20362,24.3
SA,2022,ALL,50+,2695,25090,10.7,485,199,111,69,106,262,141,454,2395,20.3
SA,2023,ALL,20-49,9759,11177,87.3,2174,718,530,428,498,302,154,484,9066,24
SA,2023,ALL,50+,1418,11177,12.7,258,116,54,35,53,249,91,455,1312,19.7
SA,2024,ALL,20-49,334,371,90,18,*,*,*,*,354,283,526,173,10.4
SA,2024,ALL,50+,37,371,10,*,*,*,*,*,*,*,*,20,*
SA,ALL,Male,20-49,313772,943359,33.3,129813,64243,35234,17273,13063,203,99,340,304743,42.6
SA,ALL,Male,50+,42722,943359,4.5,16090,8238,4368,1950,1534,195,97,326,41091,39.2
SA,ALL,Female,20-49,544357,943359,57.7,212384,79238,57704,35953,39489,267,141,436,530483,40
SA,ALL,Female,50+,42508,943359,4.5,16859,7023,4979,2406,2451,238,132,382,41146,41
SA,2006,Male,20-49,11977,36386,32.9,5667,3782,1291,357,237,139,64,241,11567,49
SA,2006,Male,50+,1751,36386,4.8,759,486,186,52,35,146,75,258,1702,44.6
SA,2006,Female,20-49,21110,36386,58,9410,5747,2239,836,588,162,82,269,20601,45.7
SA,2006,Female,50+,1548,36386,4.3,688,405,171,72,40,172,98,283,1502,45.8
SA,2007,Male,20-49,14781,44412,33.3,7450,4739,1764,611,336,149,71,256,14271,52.2
SA,2007,Male,50+,1989,44412,4.5,962,601,231,81,49,151,81,260,1917,50.2
SA,2007,Female,20-49,25820,44412,58.1,12368,6909,2980,1344,1135,180,92,311,25295,48.9
SA,2007,Female,50+,1822,44412,4.1,907,508,242,89,68,182,100,285,1775,51.1
SA,2008,Male,20-49,15340,46360,33.1,8541,5374,2056,703,408,153,73,257,14841,57.6
SA,2008,Male,50+,2281,46360,4.9,1138,696,286,96,60,160,78,265,2186,52.1
SA,2008,Female,20-49,26581,46360,57.3,13702,7355,3665,1484,1198,187,94,311,25995,52.7
SA,2008,Female,50+,2158,46360,4.7,1121,611,324,114,72,185,95,294,2110,53.1
SA,2009,Male,20-49,17911,53750,33.3,9739,6070,2329,811,529,154,74,264,17411,55.9
SA,2009,Male,50+,2579,53750,4.8,1217,740,312,102,63,158,88,266,2496,48.8
SA,2009,Female,20-49,30787,53750,57.3,15465,7998,4121,1849,1497,193,102,325,30101,51.4
SA,2009,Female,50+,2473,53750,4.6,1306,688,387,129,102,190,117,298,2423,53.9
SA,2010,Male,20-49,18400,55461,33.2,9958,5723,2606,1000,629,172,87,287,17921,55.6
SA,2010,Male,50+,2581,55461,4.7,1267,728,336,125,78,174,88,284,2497,50.7
SA,2010,Female,20-49,31819,55461,57.4,15968,7572,4436,2108,1852,213,112,349,31249,51.1
SA,2010,Female,50+,2661,55461,4.8,1410,712,409,146,143,198,116,313,2609,54
SA,2011,Male,20-49,18756,57260,32.8,10439,5552,3013,1141,733,188,94,305,18323,57
SA,2011,Male,50+,2825,57260,4.9,1464,778,438,145,103,186,92,301,2738,53.5
SA,2011,Female,20-49,32766,57260,57.2,17087,7284,5325,2380,2098,232,128,359,32260,53
SA,2011,Female,50+,2913,57260,5.1,1546,704,550,146,146,216,135,323,2844,54.4
SA,2012,Male,20-49,18357,54599,33.6,9951,4885,3083,1169,814,205,102,321,17955,55.4
SA,2012,Male,50+,2599,54599,4.8,1264,644,395,131,94,196,97,309,2512,50.3
SA,2012,Female,20-49,31063,54599,56.9,15602,5956,5404,2220,2022,250,142,364,30443,51.2
SA,2012,Female,50+,2580,54599,4.7,1366,531,524,159,152,240,138,341,2507,54.5
SA,2013,Male,20-49,18855,57493,32.8,9325,4543,2776,1206,800,206,103,329,18355,50.8
SA,2013,Male,50+,2714,57493,4.7,1169,581,337,140,111,203,106,331,2601,44.9
SA,2013,Female,20-49,33282,57493,57.9,15616,5448,4964,2501,2703,272,151,414,32613,47.9
SA,2013,Female,50+,2642,57493,4.6,1272,518,435,161,158,246,137,351,2585,49.2
SA,2014,Male,20-49,19429,61389,31.6,9579,4308,2834,1461,976,224,114,354,18995,50.4
SA,2014,Male,50+,2685,61389,4.4,1163,518,376,163,106,223,113,339,2613,44.5
SA,2014,Female,20-49,36677,61389,59.7,16368,4966,4619,3322,3461,308,171,470,35961,45.5
SA,2014,Female,50+,2598,61389,4.2,1169,443,369,188,169,253,141,393,2539,46
SA,2015,Male,20-49,20044,62562,32,9294,4034,2652,1647,961,233,118,372,19646,47.3
SA,2015,Male,50+,2659,62562,4.3,1116,511,301,196,108,224,109,366,2588,43.1
SA,2015,Female,20-49,37084,62562,59.3,15676,4383,4226,3698,3369,323,182,474,36361,43.1
SA,2015,Female,50+,2775,62562,4.4,1219,427,366,250,176,270,152,412,2714,44.9
SA,2016,Male,20-49,21294,66360,32.1,8914,3629,2385,1629,1271,247,122,403,20813,42.8
SA,2016,Male,50+,2976,66360,4.5,1089,475,267,184,163,234,117,406,2867,38
SA,2016,Female,20-49,38976,66360,58.7,15398,4124,3779,3557,3938,343,189,506,38150,40.4
SA,2016,Female,50+,3114,66360,4.7,1334,406,362,288,278,310,167,468,3019,44.2
SA,2017,Male,20-49,26990,80920,33.4,9612,3522,2677,1760,1653,269,139,428,26466,36.3
SA,2017,Male,50+,3427,80920,4.2,1039,414,265,165,195,253,129,438,3313,31.4
SA,2017,Female,20-49,46930,80920,58,15731,3698,3804,3375,4854,365,212,556,46055,34.2
SA,2017,Female,50+,3573,80920,4.4,1158,329,293,221,315,328,179,526,3477,33.3
SA,2018,Male,20-49,26404,78331,33.7,8088,2970,2272,1425,1421,267,139,427,25786,31.4
SA,2018,Male,50+,3124,78331,4,876,355,249,141,131,239,130,409,3031,28.9
SA,2018,Female,20-49,45398,78331,58,13042,2931,3160,2869,4082,372,216,556,44344,29.4
SA,2018,Female,50+,3405,78331,4.3,988,284,243,204,257,328,176,508,3304,29.9
SA,2019,Male,20-49,22350,62834,35.6,5036,1835,1375,935,891,269,141,430,21716,23.2
SA,2019,Male,50+,2665,62834,4.2,508,235,131,77,65,230,98,366,2558,19.9
SA,2019,Female,20-49,35210,62834,56,7893,1741,1955,1677,2520,373,220,570,34147,23.1
SA,2019,Female,50+,2609,62834,4.2,520,167,104,100,149,334,146,536,2510,20.7
SA,2020,Male,20-49,17860,51338,34.8,3208,1207,848,580,573,269,136,427,17229,18.6
SA,2020,Male,50+,2106,51338,4.1,353,150,96,44,63,233,134,405,2007,17.6
SA,2020,Female,20-49,29349,51338,57.2,5150,1152,1162,1128,1708,380,220,575,28343,18.2
SA,2020,Female,50+,2023,51338,3.9,301,94,75,54,78,302,170,509,1922,15.7
SA,2021,Male,20-49,12508,37266,33.6,2179,847,575,378,379,259,128,429,11955,18.2
SA,2021,Male,50+,1589,37266,4.3,274,131,65,41,37,219,90,398,1495,18.3
SA,2021,Female,20-49,21533,37266,57.8,3599,862,862,728,1147,361,208,556,20457,17.6
SA,2021,Female,50+,1636,37266,4.4,242,75,57,48,62,304,174,506,1549,15.6
SA,2022,Male,20-49,8484,25090,33.8,1956,850,478,306,322,234,125,409,7810,25
SA,2022,Male,50+,1441,25090,5.7,285,121,67,46,51,261,131,430,1303,21.9
SA,2022,Female,20-49,13911,25090,55.4,2994,765,686,599,944,360,200,570,12552,23.9
SA,2022,Female,50+,1254,25090,5,200,78,44,23,55,272,153,517,1092,18.3
SA,2023,Male,20-49,3909,11177,35,872,372,217,153,130,240,114,406,3612,24.1
SA,2023,Male,50+,716,11177,6.4,147,74,30,21,22,200,66,399,659,22.3
SA,2023,Female,20-49,5850,11177,52.3,1302,346,313,275,368,346,192,528,5454,23.9
SA,2023,Female,50+,702,11177,6.3,111,42,24,14,31,259,108,534,653,17
SA,2024,Male,20-49,123,371,33.2,*,*,*,*,*,*,*,*,71,*
SA,2024,Male,50+,15,371,4,0,,,,,,,,*,*
SA,2024,Female,20-49,211,371,56.9,13,*,*,*,*,380,309,660,102,12.7
SA,2024,Female,50+,22,371,5.9,*,*,*,*,*,*,*,*,12,*
WA,ALL,ALL,ALL,42369,42369,100,33491,17126,8532,4221,3612,195,88,338,41783,80.2
WA,2006,ALL,ALL,3567,3567,100,2926,1781,660,253,232,162,76,287,3538,82.7
WA,2007,ALL,ALL,3904,3904,100,3249,1933,774,306,236,161,76,284,3860,84.2
WA,2008,ALL,ALL,4063,4063,100,3464,1861,918,391,294,184,89,308,4014,86.3
WA,2009,ALL,ALL,4034,4034,100,3577,1795,968,452,362,200,96,332,3971,90.1
WA,2010,ALL,ALL,3612,3612,100,3149,1674,812,384,279,186,86,320,3567,88.3
WA,2011,ALL,ALL,3196,3196,100,2913,1476,826,346,265,198,94,325,3133,93
WA,2012,ALL,ALL,3030,3030,100,2766,1297,733,400,336,213,93,359,2982,92.8
WA,2013,ALL,ALL,3001,3001,100,2851,1410,781,389,271,202,88,340,2950,96.6
WA,2014,ALL,ALL,2274,2274,100,2096,1047,540,283,226,201,81,342,2240,93.6
WA,2015,ALL,ALL,1816,1816,100,1587,750,391,247,199,216,87,371,1778,89.3
WA,2016,ALL,ALL,1548,1548,100,1302,592,312,197,201,228,100,391,1529,85.2
WA,2017,ALL,ALL,1207,1207,100,938,406,230,158,144,234,100,404,1193,78.6
WA,2018,ALL,ALL,1079,1079,100,730,339,149,108,134,226,84,414,1060,68.9
WA,2019,ALL,ALL,1204,1204,100,709,300,169,93,147,255,107,446,1190,59.6
WA,2020,ALL,ALL,1823,1823,100,428,162,98,72,96,264,118,460,1815,23.6
WA,2021,ALL,ALL,1467,1467,100,310,108,72,56,74,281,132,487,1455,21.3
WA,2022,ALL,ALL,1073,1073,100,298,107,48,61,82,326,120,520,1061,28.1
WA,2023,ALL,ALL,465,465,100,197,87,51,25,34,236,106,401,441,44.7
WA,2024,ALL,ALL,*,*,*,*,*,*,*,*,*,*,*,*,*
WA,ALL,Male,ALL,15331,42369,36.2,11273,6404,2678,1264,927,169,68,307,15076,74.8
WA,ALL,Female,ALL,27038,42369,63.8,22218,10722,5854,2957,2685,208,100,354,26707,83.2
WA,ALL,ALL,20-49,37289,42369,88,29549,15106,7521,3719,3203,195,87,338,36812,80.3
WA,ALL,ALL,50+,5080,42369,12,3942,2020,1011,502,409,192,92,338,4971,79.3
WA,2006,Male,ALL,1229,3567,34.5,1001,684,199,73,45,137,61,242,1219,82.1
WA,2006,Female,ALL,2338,3567,65.5,1925,1097,461,180,187,178,87,306,2319,83
WA,2007,Male,ALL,1307,3904,33.5,1048,688,224,81,55,138,60,249,1282,81.7
WA,2007,Female,ALL,2597,3904,66.5,2201,1245,550,225,181,173,86,295,2578,85.4
WA,2008,Male,ALL,1334,4063,32.8,1126,673,267,113,73,160,66,280,1315,85.6
WA,2008,Female,ALL,2729,4063,67.2,2338,1188,651,278,221,198,98,321,2699,86.6
WA,2009,Male,ALL,1322,4034,32.8,1168,659,296,135,78,176,72,302,1294,90.3
WA,2009,Female,ALL,2712,4034,67.2,2409,1136,672,317,284,211,107,350,2677,90
WA,2010,Male,ALL,1190,3612,32.9,1029,610,242,112,65,168,67,288,1168,88.1
WA,2010,Female,ALL,2422,3612,67.1,2120,1064,570,272,214,200,94,335,2399,88.4
WA,2011,Male,ALL,1069,3196,33.4,966,527,270,107,62,182,72,299,1040,92.9
WA,2011,Female,ALL,2127,3196,66.6,1947,949,556,239,203,207,104,336,2093,93
WA,2012,Male,ALL,969,3030,32,874,472,203,127,72,178,66,331,953,91.7
WA,2012,Female,ALL,2061,3030,68,1892,825,530,273,264,230,107,373,2029,93.2
WA,2013,Male,ALL,1018,3001,33.9,962,536,261,97,68,169,69,302,998,96.4
WA,2013,Female,ALL,1983,3001,66.1,1889,874,520,292,203,215,105,360,1952,96.8
WA,2014,Male,ALL,804,2274,35.4,739,407,179,88,65,169,67,303,787,93.9
WA,2014,Female,ALL,1470,2274,64.6,1357,640,361,195,161,217,89,361,1453,93.4
WA,2015,Male,ALL,638,1816,35.1,545,300,119,71,55,175,54,342,625,87.2
WA,2015,Female,ALL,1178,1816,64.9,1042,450,272,176,144,236,106,388,1153,90.4
WA,2016,Male,ALL,554,1548,35.8,460,237,99,60,64,189,72,371,546,84.2
WA,2016,Female,ALL,994,1548,64.2,842,355,213,137,137,248,122,398,983,85.7
WA,2017,Male,ALL,448,1207,37.1,349,162,91,53,43,224,77,377,441,79.1
WA,2017,Female,ALL,759,1207,62.9,589,244,139,105,101,247,115,418,752,78.3
WA,2018,Male,ALL,409,1079,37.9,278,130,61,40,47,221,92,404,397,70
WA,2018,Female,ALL,670,1079,62.1,452,209,88,68,87,228,81,439,663,68.2
WA,2019,Male,ALL,442,1204,36.7,248,114,59,29,46,230,101,392,436,56.9
WA,2019,Female,ALL,762,1204,63.3,461,186,110,64,101,267,109,469,754,61.1
WA,2020,Male,ALL,951,1823,52.2,167,75,39,29,24,226,77,397,951,17.6
WA,2020,Female,ALL,872,1823,47.8,261,87,59,43,72,298,146,524,864,30.2
WA,2021,Male,ALL,860,1467,58.6,119,48,29,23,19,245,116,434,853,14
WA,2021,Female,ALL,607,1467,41.4,191,60,43,33,55,300,142,528,602,31.7
WA,2022,Male,ALL,568,1073,52.9,124,51,23,18,32,278,96,511,562,22.1
WA,2022,Female,ALL,505,1073,47.1,174,56,25,43,50,365,138,554,499,34.9
WA,2023,Male,ALL,215,465,46.2,69,30,17,*,14,275,84,451,205,33.7
WA,2023,Female,ALL,250,465,53.8,128,57,34,17,20,232,115,395,236,54.2
WA,2024,Male,ALL,*,*,*,*,*,*,*,*,*,*,*,*,*
WA,2024,Female,ALL,*,*,*,0,,,,,,,,*,*
WA,2006,ALL,20-49,3251,3567,91.1,2676,1617,613,226,220,163,78,288,3226,83
WA,2006,ALL,50+,316,3567,8.9,250,164,47,27,12,152,66,283,312,80.1
WA,2007,ALL,20-49,3545,3904,90.8,2966,1768,711,274,213,161,74,284,3510,84.5
WA,2007,ALL,50+,359,3904,9.2,283,165,63,32,23,166,92,294,350,80.9
WA,2008,ALL,20-49,3678,4063,90.5,3145,1676,829,367,273,186,88,311,3640,86.4
WA,2008,ALL,50+,385,4063,9.5,319,185,89,24,21,167,92,274,374,85.3
WA,2009,ALL,20-49,3635,4034,90.1,3231,1607,867,416,341,202,98,336,3581,90.2
WA,2009,ALL,50+,399,4034,9.9,346,188,101,36,21,186,78,306,390,88.7
WA,2010,ALL,20-49,3223,3612,89.2,2814,1500,718,342,254,186,86,321,3184,88.4
WA,2010,ALL,50+,389,3612,10.8,335,174,94,42,25,187,90,314,383,87.5
WA,2011,ALL,20-49,2866,3196,89.7,2620,1330,733,316,241,197,92,326,2815,93.1
WA,2011,ALL,50+,330,3196,10.3,293,146,93,30,24,201,100,314,318,92.1
WA,2012,ALL,20-49,2696,3030,89,2467,1140,650,364,313,216,95,364,2653,93
WA,2012,ALL,50+,334,3030,11,299,157,83,36,23,189,82,320,329,90.9
WA,2013,ALL,20-49,2656,3001,88.5,2522,1247,696,349,230,202,87,339,2615,96.4
WA,2013,ALL,50+,345,3001,11.5,329,163,85,40,41,202,102,344,335,98.2
WA,2014,ALL,20-49,1983,2274,87.2,1827,916,469,247,195,200,80,342,1954,93.5
WA,2014,ALL,50+,291,2274,12.8,269,131,71,36,31,207,93,349,286,94.1
WA,2015,ALL,20-49,1504,1816,82.8,1307,614,323,192,178,220,84,372,1474,88.7
WA,2015,ALL,50+,312,1816,17.2,280,136,68,55,21,208,97,364,304,92.1
WA,2016,ALL,20-49,1276,1548,82.4,1067,487,257,159,164,228,102,387,1259,84.7
WA,2016,ALL,50+,272,1548,17.6,235,105,55,38,37,230,96,406,270,87
WA,2017,ALL,20-49,998,1207,82.7,782,333,193,137,119,238,102,401,987,79.2
WA,2017,ALL,50+,209,1207,17.3,156,73,37,21,25,219,89,412,206,75.7
WA,2018,ALL,20-49,874,1079,81,589,272,112,91,114,230,77,431,858,68.6
WA,2018,ALL,50+,205,1079,19,141,67,37,17,20,219,112,374,202,69.8
WA,2019,ALL,20-49,984,1204,81.7,566,238,137,75,116,258,102,433,979,57.8
WA,2019,ALL,50+,220,1204,18.3,143,62,32,18,31,237,114,452,211,67.8
WA,2020,ALL,20-49,1558,1823,85.5,336,125,78,57,76,270,120,460,1553,21.6
WA,2020,ALL,50+,265,1823,14.5,92,37,20,15,20,256,106,459,262,35.1
WA,2021,ALL,20-49,1279,1467,87.2,250,84,56,46,64,288,134,510,1270,19.7
WA,2021,ALL,50+,188,1467,12.8,60,24,16,*,*,238,122,383,185,32.4
WA,2022,ALL,20-49,901,1073,84,225,83,39,43,60,310,120,518,891,25.3
WA,2022,ALL,50+,172,1073,16,73,24,*,18,22,385,120,554,170,42.9
WA,2023,ALL,20-49,378,465,81.3,158,68,40,18,32,250,114,441,359,44
WA,2023,ALL,50+,87,465,18.7,39,19,11,*,*,201,74,333,82,47.6
WA,2024,ALL,20-49,*,*,*,*,*,*,*,*,*,*,*,*,*
WA,2024,ALL,50+,*,*,*,0,,,,,,,,*,*
WA,ALL,Male,20-49,12719,42369,30,9249,5250,2217,1035,747,169,66,305,12531,73.8
WA,ALL,Male,50+,2612,42369,6.2,2024,1154,461,229,180,166,73,315,2545,79.5
WA,ALL,Female,20-49,24570,42369,58,20300,9856,5304,2684,2456,207,98,353,24281,83.6
WA,ALL,Female,50+,2468,42369,5.8,1918,866,550,273,229,220,115,360,2426,79.1
WA,2006,Male,20-49,1054,3567,29.5,860,581,177,64,38,139,62,245,1048,82.1
WA,2006,Male,50+,175,3567,4.9,141,103,22,*,*,126,57,224,171,82.5
WA,2006,Female,20-49,2197,3567,61.6,1816,1036,436,162,182,176,87,304,2178,83.4
WA,2006,Female,50+,141,3567,4,109,61,25,18,*,187,97,336,141,77.3
WA,2007,Male,20-49,1118,3904,28.6,909,599,198,69,43,136,56,246,1101,82.6
WA,2007,Male,50+,189,3904,4.8,139,89,26,12,12,150,89,268,181,76.8
WA,2007,Female,20-49,2427,3904,62.2,2057,1169,513,205,170,172,86,295,2409,85.4
WA,2007,Female,50+,170,3904,4.4,144,76,37,20,11,184,99,326,169,85.2
WA,2008,Male,20-49,1132,4063,27.9,964,569,228,100,67,164,66,287,1121,86
WA,2008,Male,50+,202,4063,5,162,104,39,13,*,136,68,256,194,83.5
WA,2008,Female,20-49,2546,4063,62.7,2181,1107,601,267,206,198,97,323,2519,86.6
WA,2008,Female,50+,183,4063,4.5,157,81,50,11,15,196,115,301,180,87.2
WA,2009,Male,20-49,1103,4034,27.3,980,551,246,116,67,180,74,300,1081,90.7
WA,2009,Male,50+,219,4034,5.4,188,108,50,19,11,155,62,307,213,88.3
WA,2009,Female,20-49,2532,4034,62.8,2251,1056,621,300,274,211,105,354,2500,90
WA,2009,Female,50+,180,4034,4.5,158,80,51,17,*,198,121,303,177,89.3
WA,2010,Male,20-49,973,3612,26.9,845,503,201,88,53,166,67,285,954,88.6
WA,2010,Male,50+,217,3612,6,184,107,41,24,12,172,75,308,214,86
WA,2010,Female,20-49,2250,3612,62.3,1969,997,517,254,201,197,94,336,2230,88.3
WA,2010,Female,50+,172,3612,4.8,151,67,53,18,13,222,105,321,169,89.3
WA,2011,Male,20-49,888,3196,27.8,807,448,219,89,51,179,71,293,867,93.1
WA,2011,Male,50+,181,3196,5.7,159,79,51,18,11,203,88,314,173,91.9
WA,2011,Female,20-49,1978,3196,61.9,1813,882,514,227,190,207,103,338,1948,93.1
WA,2011,Female,50+,149,3196,4.7,134,67,42,12,13,200,125,314,145,92.4
WA,2012,Male,20-49,809,3030,26.7,735,384,175,112,64,189,68,338,797,92.2
WA,2012,Male,50+,160,3030,5.3,139,88,28,15,*,141,49,283,156,89.1
WA,2012,Female,20-49,1887,3030,62.3,1732,756,475,252,249,229,106,378,1856,93.3
WA,2012,Female,50+,174,3030,5.7,160,69,55,21,15,232,136,328,173,92.5
WA,2013,Male,20-49,842,3001,28.1,792,433,224,85,50,170,68,303,825,96
WA,2013,Male,50+,176,3001,5.9,170,103,37,12,18,158,71,290,173,98.3
WA,2013,Female,20-49,1814,3001,60.4,1730,814,472,264,180,212,101,356,1790,96.6
WA,2013,Female,50+,169,3001,5.6,159,60,48,28,23,258,140,390,162,98.1
WA,2014,Male,20-49,652,2274,28.7,602,335,144,72,51,167,68,300,639,94.2
WA,2014,Male,50+,152,2274,6.7,137,72,35,16,14,178,66,322,148,92.6
WA,2014,Female,20-49,1331,2274,58.5,1225,581,325,175,144,217,86,358,1315,93.2
WA,2014,Female,50+,139,2274,6.1,132,59,36,20,17,224,108,378,138,95.7
WA,2015,Male,20-49,473,1816,26,403,221,86,51,45,176,50,344,464,86.9
WA,2015,Male,50+,165,1816,9.1,142,79,33,20,*,166,70,327,161,88.2
WA,2015,Female,20-49,1031,1816,56.8,904,393,237,141,133,236,102,387,1010,89.5
WA,2015,Female,50+,147,1816,8.1,138,57,35,35,11,234,134,407,143,96.5
WA,2016,Male,20-49,423,1548,27.3,345,176,76,43,50,197,72,373,416,82.9
WA,2016,Male,50+,131,1548,8.5,115,61,23,17,14,181,72,367,130,88.5
WA,2016,Female,20-49,853,1548,55.1,722,311,181,116,114,243,121,394,843,85.6
WA,2016,Female,50+,141,1548,9.1,120,44,32,21,23,269,123,442,140,85.7
WA,2017,Male,20-49,351,1207,29.1,270,123,69,45,33,228,82,380,346,78
WA,2017,Male,50+,97,1207,8,79,39,22,*,*,201,70,333,95,83.2
WA,2017,Female,20-49,647,1207,53.6,512,210,124,92,86,248,112,416,641,79.9
WA,2017,Female,50+,112,1207,9.3,77,34,15,13,15,246,118,420,111,69.4
WA,2018,Male,20-49,309,1079,28.6,203,92,41,28,42,238,83,424,299,67.9
WA,2018,Male,50+,100,1079,9.3,75,38,20,12,*,194,109,336,98,76.5
WA,2018,Female,20-49,565,1079,52.4,386,180,71,63,72,228,76,437,559,69.1
WA,2018,Female,50+,105,1079,9.7,66,29,17,*,15,231,120,473,104,63.5
WA,2019,Male,20-49,333,1204,27.7,179,84,45,21,29,226,80,380,330,54.2
WA,2019,Male,50+,109,1204,9.1,69,30,14,*,17,230,139,486,106,65.1
WA,2019,Female,20-49,651,1204,54.1,387,154,92,54,87,273,109,472,649,59.6
WA,2019,Female,50+,111,1204,9.2,74,32,18,*,14,246,106,448,105,70.5
WA,2020,Male,20-49,821,1823,45,123,56,32,19,16,222,74,368,821,15
WA,2020,Male,50+,130,1823,7.1,44,19,*,*,*,234,93,451,130,33.8
WA,2020,Female,20-49,737,1823,40.4,213,69,46,38,60,302,152,524,732,29.1
WA,2020,Female,50+,135,1823,7.4,48,18,13,*,12,278,133,525,132,36.4
WA,2021,Male,20-49,776,1467,52.9,93,37,22,18,16,247,115,443,770,12.1
WA,2021,Male,50+,84,1467,5.7,26,11,*,*,*,234,128,385,83,31.3
WA,2021,Female,20-49,503,1467,34.3,157,47,34,28,48,339,143,540,500,31.4
WA,2021,Female,50+,104,1467,7.1,34,13,*,*,*,260,112,370,102,33.3
WA,2022,Male,20-49,487,1073,45.4,87,37,20,11,19,263,104,446,483,18
WA,2022,Male,50+,81,1073,7.5,37,14,*,*,13,406,89,707,79,46.8
WA,2022,Female,20-49,414,1073,38.6,138,46,19,32,41,362,135,574,408,33.8
WA,2022,Female,50+,91,1073,8.5,36,*,*,11,*,376,195,499,91,39.6
WA,2023,Male,20-49,171,465,36.8,51,20,14,*,13,290,104,500,165,30.9
WA,2023,Male,50+,44,465,9.5,18,*,*,*,*,112,78,376,40,45
WA,2023,Female,20-49,207,465,44.5,107,48,26,14,19,243,118,405,194,55.2
WA,2023,Female,50+,43,465,9.2,21,*,*,*,*,209,73,298,42,50
WA,2024,Male,20-49,*,*,*,*,*,*,*,*,*,*,*,*,*
WA,2024,Male,50+,0,*,*,0,,,,,,,,0,
WA,2024,Female,20-49,0,*,*,0,,,,,,,,0,
WA,2024,Female,50+,*,*,*,0,,,,,,,,*,*
