Region,Year,Sex,enroll_n,enrollage_mean,enrollage_sd,enrollage_median,enrollage_p25,enrollage_p75
AP,2017,Female,720,38.5138888888889,11.1251485659072,38,30,46
AP,2018,Male,1620,36.491975308642,11.3611306973407,34,27,44
AP,2018,Female,558,39.5197132616487,10.8058833594462,39,32,46
AP,2019,Male,1612,36.6730769230769,11.4995131610567,35,28,44
AP,2019,Female,603,39.1525704809287,11.1595171542442,39,31,46
AP,2020,Male,1156,36.9610726643599,11.6979018457578,35,28,45
AP,2020,Female,372,39.1908602150538,10.6797852887262,39,31,46
AP,2021,Male,1003,38.0189431704885,12.6399013393311,35,28,46
AP,2021,Female,382,40.6858638743456,11.5738305208908,40,32,48
AP,2022,Male,972,37.6615226337449,11.7740328076061,35,28,46
AP,2022,Female,397,39.9571788413098,10.8080441470042,40,32,47
AP,2023,Male,375,37.7066666666667,12.2358434334389,35,28,46
AP,2023,Female,145,42.0827586206897,14.4421756249399,41,30,51
CA,ALL,ALL,55708,36.9389315717671,10.1594149356774,36,29,43
CA,2006,ALL,4972,36.8465406275141,9.4046465582549,36,30,43
CA,2007,ALL,4746,35.8362831858407,9.35601655298931,35,29,42
CA,2008,ALL,4532,35.8457634598411,9.67931158482974,35,29,42
CA,2009,ALL,4731,35.9835129993659,9.79371496711396,34,29,42
CA,2010,ALL,4638,36.1666666666667,9.77724917318669,35,29,42
CA,2011,ALL,4295,36.4202561117579,9.94486942968664,35,29,43
CA,2012,ALL,3823,36.7750457755689,9.89389733316937,36,29,43
CA,2013,ALL,3225,36.6722480620155,10.2218651907638,35,29,43
CA,2014,ALL,2999,37.2284094698233,10.3615839258303,36,29,44
CA,2015,ALL,3351,38.1677111310057,10.5562282152599,37,30,45
CA,2016,ALL,3838,38.2985930171965,10.6213995712082,37,30,45
CA,2017,ALL,3297,37.8286320897786,10.4952048853645,37,30,45
CA,2018,ALL,2384,37.8842281879195,10.8546272165383,36,29,45
CA,2019,ALL,1573,38.1226954863318,11.0809340351369,37,29,45
CA,2020,ALL,1240,38.083064516129,11.4785283762464,37,29,45
CA,2021,ALL,1014,38.0167652859961,10.9430327350066,37,29,46
CA,2022,ALL,766,38.9856396866841,11.1762377499703,38,30,47
CA,2023,ALL,284,40.919014084507,12.3126435811891,40,32,48
CA,ALL,Male,19719,39.7491759216999,10.0140468948335,39,32,46
CA,ALL,Female,35989,35.3991497401984,9.90581018461025,34,28,41
CA,2006,Male,1551,40.1289490651193,9.35356444691355,40,33,46
CA,2006,Female,3421,35.3583747442268,9.04466875641816,34,29,41
CA,2007,Male,1549,38.9799870884442,9.20483174153738,38,32,45
CA,2007,Female,3197,34.3131060369096,9.04493685003414,33,28,39
CA,2008,Male,1539,39.2592592592593,9.79236836799901,39,32,46
CA,2008,Female,2993,34.0905446040762,9.13857338612112,33,27,39
CA,2009,Male,1535,39.7218241042345,9.5958154073948,39,32,46
CA,2009,Female,3196,34.1880475594493,9.37285367675916,33,27,39
CA,2010,Male,1511,39.9430840502978,9.66810504277319,40,33,46
CA,2010,Female,3127,34.3418612088264,9.29655634149255,33,27,40
CA,2011,Male,1444,40.1994459833795,9.89517335307012,39,33,47
CA,2011,Female,2851,34.5061381971238,9.40919003135541,33,27,40
CA,2012,Male,1278,39.7378716744914,9.65323544671048,39,32,46
CA,2012,Female,2545,35.2872298624754,9.6780532652047,34,28,41
CA,2013,Male,1127,39.700976042591,10.0337011568214,39,32,46
CA,2013,Female,2098,35.0452812202097,9.95010677517709,34,28,41
CA,2014,Male,1062,39.7947269303202,9.82932821643662,39,33,46
CA,2014,Female,1937,35.8213732576149,10.3785328334185,34,28,42
CA,2015,Male,1254,40.6650717703349,10.5038787402662,40,33,47
CA,2015,Female,2097,36.6742966142108,10.3045361821459,35,29,43
CA,2016,Male,1477,40.6249153689912,10.1820888996003,40,33,47
CA,2016,Female,2361,36.8432867429055,10.6335337831864,36,29,44
CA,2017,Male,1287,39.0916860916861,10.245781328149,39,31.5,46
CA,2017,Female,2010,37.0199004975124,10.5754113408144,36,29,44
CA,2018,Male,1013,38.9911154985192,10.7030027942499,38,31,46
CA,2018,Female,1371,37.0663749088257,10.8971622865871,35,28,44
CA,2019,Male,716,38.7360335195531,10.7459610454572,38,30,46
CA,2019,Female,857,37.610268378063,11.3340231759567,36,29,45
CA,2020,Male,507,39.232741617357,11.4295000469152,38,31,46
CA,2020,Female,733,37.2878581173261,11.4526980342623,36,28,44
CA,2021,Male,449,39.2160356347439,10.7427347275868,38,30,47
CA,2021,Female,565,37.0637168141593,11.0162441465759,36,28,44
CA,2022,Male,305,41.0163934426229,10.8277357720789,40,33,48
CA,2022,Female,461,37.6420824295011,11.2117895636369,36,29,45
CA,2023,Male,115,43.9913043478261,12.4227406447152,43,36,53
CA,2023,Female,169,38.8284023668639,11.8236102748854,38,29,46
CN,ALL,ALL,40596,36.0314563011134,10.8654660627273,34,27,43
CN,2006,ALL,1834,36.319520174482,10.3187275437464,35,28,43
CN,2007,ALL,2205,36.8480725623583,10.4537722398146,36,29,43
CN,2008,ALL,2363,36.8840457046128,10.314204925867,36,29,44
CN,2009,ALL,2502,36.4484412470024,10.2783112472578,35,28,43
CN,2010,ALL,2099,36.0833730347785,10.5944930952877,35,28,43
CN,2011,ALL,2362,36.4779847586791,10.855044972662,35,28,43
CN,2012,ALL,2474,36.2283751010509,10.896787554154,34,28,43
CN,2013,ALL,2932,35.8120736698499,10.6271998760936,34,27,42
CN,2014,ALL,2923,36.0817653096134,11.2661999581001,34,27,43
CN,2015,ALL,2822,36.0591778880227,11.2299783204546,34,27,43
CN,2016,ALL,2768,35.8258670520231,11.101562676626,33,27,43
CN,2017,ALL,3027,35.7578460521969,11.3619694312938,33,27,43
