chart,indicator,value,value_lower,value_upper,value_comment,sex,age,year,source_database,notes
"PLHIV who know status - by age","aware","65.7752917357228","65.2110141653632","66.3692260169689",,"both","25-34","2024","Shiny90",
"PLHIV who know status - by age","aware","46.8475146018969","46.3275543949418","47.4032403448724",,"both","35-49","2015","Shiny90",
"PLHIV who know status - by age","aware","50.077076817127995","49.560079696749895","50.5967950793103",,"both","35-49","2016","Shiny90",
"PLHIV who know status - by age","aware","53.432042755708196","52.899786832748795","53.9320179516665",,"both","35-49","2017","Shiny90",
"PLHIV who know status - by age","aware","56.786122699501995","56.2746960199606","57.2640525856591",,"both","35-49","2018","Shiny90",
"PLHIV who know status - by age","aware","59.39648844983439","58.9321876851892","59.8299226744574",,"both","35-49","2019","Shiny90",
"PLHIV who know status - by age","aware","62.424850168217404","61.9612225766336","62.861609011849794",,"both","35-49","2020","Shiny90",
"PLHIV who know status - by age","aware","65.5672717968409","65.08909985207009","66.0418549789151",,"both","35-49","2021","Shiny90",
"PLHIV who know status - by age","aware","68.8081876808414","68.3368878414632","69.3243157141911",,"both","35-49","2022","Shiny90",
"PLHIV who know status - by age","aware","71.76089951973749","71.24952601722589","72.2683481788852",,"both","35-49","2023","Shiny90",
"PLHIV who know status - by age","aware","74.5346767285717","74.1929024671101","74.8872280392485",,"both","35-49","2024","Shiny90",
"PLHIV who know status - by age","aware","47.8643923884925","47.3182134176997","48.4848956470521",,"both","50-99","2015","Shiny90",
"PLHIV who know status - by age","aware","51.439550328941195","50.792188112435596","52.1172744019018",,"both","50-99","2016","Shiny90",
"PLHIV who know status - by age","aware","55.1614195032037","54.4807843738768","55.861002864545696",,"both","50-99","2017","Shiny90",
"PLHIV who know status - by age","aware","58.8875175937458","58.2215671273627","59.5931866643854",,"both","50-99","2018","Shiny90",
"PLHIV who know status - by age","aware","61.9531533346121","61.2889496786131","62.6126850806957",,"both","50-99","2019","Shiny90",
"PLHIV who know status - by age","aware","65.4627190936801","64.8180703755245","66.1295937424126",,"both","50-99","2020","Shiny90",
"PLHIV who know status - by age","aware","68.8638564635921","68.2336307098374","69.5159321348968",,"both","50-99","2021","Shiny90",
"PLHIV who know status - by age","aware","72.3641434268715","71.7388696369749","73.0186491562247",,"both","50-99","2022","Shiny90",
"PLHIV who know status - by age","aware","75.508189645607","74.8903330804479","76.1568606789421",,"both","50-99","2023","Shiny90",
"PLHIV who know status - by age","aware","78.53893962768001","78.2127531643882","78.91203600444871",,"both","50-99","2024","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","256647.65474879183","233811.579356749","279858.0638443438",,"both","15-99","2015","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","254093.00828838017","230424.8669653409","279089.9830028336",,"both","15-99","2016","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","319865.77085986896","290284.16092253133","350101.3681190434",,"both","15-99","2017","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","394903.9030226396","360322.5460526265","433714.6360992623",,"both","15-99","2018","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","384667.1280576869","353201.6828113306","415462.4063998613",,"both","15-99","2019","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","485116.2975422656","446009.1019941812","529137.2785164304",,"both","15-99","2020","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","782072.9384266436","721520.937171067","849222.8301306287",,"both","15-99","2021","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","980329.4193033306","900848.6811459888","1076316.5826517388",,"both","15-99","2022","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","983635.655898554","906580.0002625132","1076139.359366631",,"both","15-99","2023","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","963927.87595449","886765.458681509","1055942.0423075971",,"both","15-99","2024","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","179409.19443819753","165302.57376174873","193524.2451525978",,"both","15-99","2015","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","164998.21978233627","151752.76300074538","179158.56357116104",,"both","15-99","2016","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","192113.013445653","175965.7120368612","208413.46548322347",,"both","15-99","2017","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","218104.55291013207","200323.8824127884","237474.14890098196",,"both","15-99","2018","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","199809.1778716308","184719.04552841588","214125.18453613916",,"both","15-99","2019","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","234715.4901460009","216645.53563624225","253233.7086035595",,"both","15-99","2020","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","336741.9212956815","312845.96949786454","362280.6499381669",,"both","15-99","2021","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","374246.62705222727","348499.48973767844","404097.8611871817",,"both","15-99","2022","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","344405.8325130437","319203.5553342181","373231.3051450432",,"both","15-99","2023","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","317568.62682434666","294730.847734257","343815.0826964939",,"both","15-99","2024","Shiny90",
"HIV-positive tests - new diagnoses and retests","retests","2675.031583201636",,,,"both","15-99","2015","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","retests","3562.189078546796",,,,"both","15-99","2016","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","retests","5753.137023908644",,,,"both","15-99","2017","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","retests","7816.5173515124625",,,,"both","15-99","2018","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","retests","8138.253635823592",,,,"both","15-99","2019","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","retests","9900.69158460993",,,,"both","15-99","2020","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","retests","15545.445627410318",,,,"both","15-99","2021","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","retests","18153.47517785696",,,,"both","15-99","2022","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","retests","16847.38072170241",,,,"both","15-99","2023","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","retests","15452.1686326276",,,,"both","15-99","2024","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","new_diagnoses","5267.337724726898","5007.81326763871","5529.066609968944",,"both","15-99","2015","Shiny90",
"HIV-positive tests - new diagnoses and retests","new_diagnoses","4832.453484999251","4604.126502488699","5066.686889299701",,"both","15-99","2016","Shiny90",
"HIV-positive tests - new diagnoses and retests","new_diagnoses","5097.949118382188","4858.181571057731","5347.68256670661",,"both","15-99","2017","Shiny90",
"HIV-positive tests - new diagnoses and retests","new_diagnoses","5329.491747755494","5095.028024504969","5589.95636564567",,"both","15-99","2018","Shiny90",
"HIV-positive tests - new diagnoses and retests","new_diagnoses","4693.680829723789","4497.913238685271","4884.543161756676",,"both","15-99","2019","Shiny90",
"HIV-positive tests - new diagnoses and retests","new_diagnoses","5193.931759020226","4991.891446711907","5403.3187237335615",,"both","15-99","2020","Shiny90",
"HIV-positive tests - new diagnoses and retests","new_diagnoses","5777.954045884444","5539.789121184077","6020.128326512011",,"both","15-99","2021","Shiny90",
"HIV-positive tests - new diagnoses and retests","new_diagnoses","5848.776607252765","5620.163187890284","6099.0692624595285",,"both","15-99","2022","Shiny90",
"HIV-positive tests - new diagnoses and retests","new_diagnoses","5410.96579621278","5218.311142347013","5617.245554547958",,"both","15-99","2023","Shiny90",
"HIV-positive tests - new diagnoses and retests","new_diagnoses","5605.499393548598","5358.277516025323","5905.136656506163",,"both","15-99","2024","Shiny90",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","1.11959","0.98705","1.37637",,"Male+Female","15+","2015","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","1.08412","0.95054","1.32935",,"Male+Female","15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","1.04752","0.91634","1.2794",,"Male+Female","15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","1.01203","0.88591","1.23386",,"Male+Female","15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.97375","0.85061","1.18847",,"Male+Female","15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.93515","0.81679","1.14723",,"Male+Female","15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.90036","0.78795","1.10989",,"Male+Female","15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.86576","0.75507","1.06739",,"Male+Female","15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.83331","0.72363","1.02593",,"Male+Female","15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.80423","0.69713","0.99073",,"Male+Female","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","positivity","1.7899932814166","1.6881012850787","1.9045115380204",,"both","15-99","2015","Shiny90",
"Prevalence and positivity","positivity","1.9658037189542","1.8489945171329","2.0903228672973997",,"both","15-99","2016","Shiny90",
"Prevalence and positivity","positivity","2.0786045286076997","1.9713674781899","2.1870129483302003",,"both","15-99","2017","Shiny90",
"Prevalence and positivity","positivity","2.0998637459524","2.0060967524720996","2.2023656262686",,"both","15-99","2018","Shiny90",
"Prevalence and positivity","positivity","2.1463851477813","2.0651092206913","2.2344975962955997",,"both","15-99","2019","Shiny90",
"Prevalence and positivity","positivity","2.0522346346863998","1.9686780803805999","2.1298645039612",,"both","15-99","2020","Shiny90",
"Prevalence and positivity","positivity","1.8689614032739","1.8019896563923998","1.9376017202884",,"both","15-99","2021","Shiny90",
"Prevalence and positivity","positivity","1.7399310945203998","1.6773123603906","1.8007787859370998",,"both","15-99","2022","Shiny90",
"Prevalence and positivity","positivity","1.6481056303021002","1.5859647521814","1.7076984632608",,"both","15-99","2023","Shiny90",
"Prevalence and positivity","positivity","1.6160779609040998","1.5503562576681","1.6941647280863998",,"both","15-99","2024","Shiny90",
"Prevalence and positivity","yldnew","1.1868612283547","1.1440117274057","1.2368950730542",,"both","15-99","2015","Shiny90",
"Prevalence and positivity","yldnew","1.1292969824545","1.0787607540079","1.1864046301107",,"both","15-99","2016","Shiny90",
"Prevalence and positivity","yldnew","0.9750100085029001","0.934310746977","1.0254646579548001",,"both","15-99","2017","Shiny90",
"Prevalence and positivity","yldnew","0.8497519365602999","0.8127967955181","0.891922887317",,"both","15-99","2018","Shiny90",
"Prevalence and positivity","yldnew","0.7864102659596001","0.7524855010035","0.822568333914",,"both","15-99","2019","Shiny90",
"Prevalence and positivity","yldnew","0.7064081937286001","0.6722410410722","0.7439099448056999",,"both","15-99","2020","Shiny90",
