chart,indicator,value,value_lower,value_upper,value_comment,sex,age,year,source_database,notes
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","80.87130683781305","71.65481764995224","91.28174747019611",,"Males","15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","84.25870919939798","74.44336833727753","95.24531166848017",,"Males","15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","88.87226996200776","77.39844178681433","100",,"Males","15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","91.89244254485209","79.61804870161588","100",,"Males","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.33043","0.29234","0.36684",,"Male+Female","15+","2015","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.33559","0.29795","0.37162",,"Male+Female","15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.34009","0.30413","0.3771",,"Male+Female","15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.3435","0.30783","0.38156",,"Male+Female","15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.34552","0.30903","0.38443",,"Male+Female","15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.34652","0.30967","0.38718",,"Male+Female","15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.34653","0.30829","0.38738",,"Male+Female","15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.34564","0.30732","0.38639",,"Male+Female","15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.34353","0.30529","0.3862",,"Male+Female","15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.34064","0.30105","0.38405",,"Male+Female","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Treatment adjusted Prevalence","0.1737204871821298",,,,,,"2015","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.1661467417813102",,,,,,"2016","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.16361195308267193",,,,,,"2017","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.1481154628718525",,,,,,"2018","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.13778254569777884",,,,,,"2019","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.12449289422750763",,,,,,"2020","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.11569362699573114",,,,,,"2021","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.10941306620548703",,,,,,"2022","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.1",,,,,,"2023","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.1",,,,,,"2024","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"HIV tests conducted and positivity, by sex","Women (15+) Tested in Past Year","14687",,,,"Female","15+","2023","PEPFAR",
"HIV tests conducted and positivity, by sex","Positivity - Women (15+)","5.3516715462654",,,,"Female","15+","2023","PEPFAR",
"HIV tests conducted and positivity, by sex","Men (15+) Tested in Past Year","100172",,,,"Male","15+","2023","PEPFAR",
"HIV tests conducted and positivity, by sex","Positivity - Men (15+)","5.9387852893024",,,,"Male","15+","2023","PEPFAR",
"HIV tests conducted and positivity, by sex","Den Age-All","3411566",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","3411566"
"HIV tests conducted and positivity, by sex","Per Age-All","0.6",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","0.6"
"HIV tests conducted and positivity at community level","Mobile testing - Number of tests - Community",,,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity at community level","Positivity - Community Mobile Testing",,,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity at community level","Positivity - Community VCT Testing",,,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity at community level","Other - Number of tests - Community","62035",,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity at community level","Positivity - Community Other Testing","5.2953977593294",,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity at community level","Total Community Tests","62035",,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity at community level","Positivity - Community Modalities Total","5.2953977593294",,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity at facility level","PITC - Number of tests - Facility","346",,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity at facility level","Positivity - Facility PITC Testing","15.606936416184999",,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity at facility level","ANC - Number of tests - Facility",,,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity at facility level","Positivity - Facility ANC Testing",,,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity at facility level","VCT - Number of tests - Facility","36250",,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity at facility level","Positivity - Facility VCT Testing","4.08",,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity at facility level","Den Facility-Facility All","2797021",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","2797021"
"HIV tests conducted and positivity at facility level","Per Facility-Facility All","0.8",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","0.8"
"HIV tests conducted and positivity for provider-assisted referral / index testing","Index - Number of tests - Community","3928",,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity for provider-assisted referral / index testing","Positivity - Community Index testing","21.1048879837067",,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity for provider-assisted referral / index testing","Index - Number of tests - Facility","3915",,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity for provider-assisted referral / index testing","Positivity - Facility Index Testing","13.563218390804598",,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity for provider-assisted referral / index testing","Total Index tests","7843",,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV tests conducted and positivity for provider-assisted referral / index testing","Positivity - Index Testing Total","17.340303455310497",,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2023","PEPFAR",
"HIV self-tests","HIVSTs distributed","24456",,,,,,"2018","Global AIDS Monitoring 2019",
"HIV self-tests","Self Test Distributed-Data Value",,,,"validated","All sexes","All ages","2019","Global AIDS Monitoring 2020",
"HIV self-tests","Self Test Distributed-Data Value","129155",,,"validated","All sexes","All ages","2020","Global AIDS Monitoring 2021","129155"
"HIV self-tests","HIV self-tests distributed","38687",,,,"Female, Male, Unknown Sex","15+, <15, Unknown Age","2021","PEPFAR",
"HIV self-tests","Self Test Distributed-Data Value","27295",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","27295"
"HIV self-tests","Self Test Distributed-Data Value","47861",,,"validated","All sexes","All ages","2023","Global AIDS Monitoring 2024","47861"
"HIV self-tests","Self Test Distributed-Data Value","20148",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","20148"
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","2772967.446865719",,,,,,"2024","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","2834022.4092260813",,,,,,"2025","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","2904149.690238775",,,,,,"2026","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","2972081.019237066",,,,,,"2027","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","3042227.5229316554",,,,,,"2028","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","3111703.058515176",,,,,,"2029","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","3180514.147618871",,,,,,"2030","EIC and WHO HIV RDT Landscape Report 2024",
"Key Populations","HIV prevalence among sex workers","2",,,,,,"2024","UNAIDS KP-Atlas 2025","Source: Sentinel surveillance, 2024"
"Key Populations","HIV testing and status awareness among sex workers","59",,,,,,"2024","UNAIDS KP-Atlas 2025","Source: HSS+ 2024"
"Key Populations","SW (Tested in past year)","41728",,,,,,"2019","PEPFAR COP 2020","VAAC – National reporting Program (Cir 03) – Data from October 2018 to September 2019 reported in PEPFAR COP 2020"
"Key Populations","HIV prevalence among men who have sex with men","7.2",,,,"Males",,"2024","UNAIDS KP-Atlas 2025","Source: HSS+ 2024"
"Key Populations","HIV testing and status awareness among men who have sex with men","79.3",,,,"Males",,"2024","UNAIDS KP-Atlas 2025","Source: HSS+ 2024"
"Key Populations","MSM (Tested in past year)","85134",,,,,,"2019","PEPFAR COP 2020","VAAC – National reporting Program (Cir 03) – Data from October 2018 to September 2019 reported in PEPFAR COP 2020"
"Key Populations","HIV prevalence among people who inject drugs","9.1",,,,,,"2023","UNAIDS KP-Atlas 2025","Source: Sentinel surveillance, 2023"
"Key Populations","HIV testing and status awareness among people who inject drugs","62.5",,,,,,"2023","UNAIDS KP-Atlas 2025","Source: Sentinel surveillance, 2023"
"Key Populations","PWID (Tested in past year)","220356",,,,,,"2019","PEPFAR COP 2020","VAAC – National reporting Program (Cir 03) – Data from October 2018 to September 2019 reported in PEPFAR COP 2020"
