chart,indicator,value,value_lower,value_upper,value_comment,sex,age,year,source_database,notes
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","322548.87",,,,,"15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","327297.13",,,,,"15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","330460.36",,,,,"15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","333388.72",,,,,"15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","425422.8424","382205.7634","481721.29",,,"15+","2015","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","419985.1741","376588.8098","477939.9448",,,"15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","414205.4228","369677.8359","473757.2489",,,"15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","409646.6018","365293.2205","468746.0354",,,"15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","405803.7052","361921.861","465252.4872",,,"15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","402229.8269","357542.1212","460842.0614",,,"15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","399340.3197","355409.4469","459195.1264",,,"15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","396531.2454","352309.8384","456990.9774",,,"15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","393552.9539","348992.727","456001.1852",,,"15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","389928.391","344350.0637","453414.6314",,,"15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","72.36391508726848","64.89481602005799","81.71252298650904",,"Females","15+","2015","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","75.66057862378015","67.48616627764697","85.74829901447045",,"Females","15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","78.59092806876772","69.84251378823673","89.70041402524548",,"Females","15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","81.02734337213457","72.00425018927172","92.38339393292821",,"Females","15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","82.8942774857146","73.3120382933794","94.48286047792611",,"Females","15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","84.13140863653864","74.29453939796268","96.25360430533038",,"Females","15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","85.42013397503167","75.41629192482176","100",,"Females","15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","86.88683929986237","76.64094303052941","100",,"Females","15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","87.97037383298175","77.39421623389951","100",,"Females","15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","89.17403397225796","78.13390446298546","100",,"Females","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","53.415614102541866","47.78221251750474","61.14982365067443",,"Males","15+","2015","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","56.66548131654721","50.64253022982141","65.17826592792166",,"Males","15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","59.91510268172679","53.72016780979642","69.11944531977358",,"Males","15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","63.36634231574552","56.738068870256114","73.14249772498991",,"Males","15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","66.7755217851841","59.605983494646985","77.26640851464637",,"Males","15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","69.25113220685054","61.71849371108126","80.19411913710277",,"Males","15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","71.39949879441248","63.546549259003534","83.03301130228235",,"Males","15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","73.60324098684268","65.21492267236229","85.78090988182761",,"Males","15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","75.58261162221885","66.7071078505168","88.06072405261271",,"Males","15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","77.66883319597258","68.29300976809927","90.63325153142094",,"Males","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by age","aware","50.5378545425311","47.7309793309329","52.7206114952208",,"both","15-24","2015","Shiny90",
"PLHIV who know status - by age","aware","52.960044986771905","50.21140246590951","55.081147418364495",,"both","15-24","2016","Shiny90",
"PLHIV who know status - by age","aware","55.344529159216506","52.9076326679371","57.273616771899704",,"both","15-24","2017","Shiny90",
"PLHIV who know status - by age","aware","58.2044777844566","56.1555414100492","59.9923634729879",,"both","15-24","2018","Shiny90",
"PLHIV who know status - by age","aware","61.1210438385331","59.2945528507967","62.73382702793629",,"both","15-24","2019","Shiny90",
"PLHIV who know status - by age","aware","62.84792536171","61.2813190560466","64.2888322674121",,"both","15-24","2020","Shiny90",
"PLHIV who know status - by age","aware","64.5286814672267","63.1502250055493","65.8632142645032",,"both","15-24","2021","Shiny90",
"PLHIV who know status - by age","aware","66.9721941391162","65.7497005102924","68.1091368035998",,"both","15-24","2022","Shiny90",
"PLHIV who know status - by age","aware","68.65545919875609","67.41557481569859","69.7267716479085",,"both","15-24","2023","Shiny90",
"PLHIV who know status - by age","aware","70.66719361624449","69.50928904441281","71.6522025548185",,"both","15-24","2024","Shiny90",
"PLHIV who know status - by age","aware","63.8838738076319","61.120969575737206","66.0974293704932",,"both","25-34","2015","Shiny90",
"PLHIV who know status - by age","aware","66.6444138409181","64.06586587909409","68.7136132275203",,"both","25-34","2016","Shiny90",
"PLHIV who know status - by age","aware","68.9570368097943","66.608863964405","70.9053396416235",,"both","25-34","2017","Shiny90",
