chart,indicator,value,value_lower,value_upper,value_comment,sex,age,year,source_database,notes
"Prevalence and positivity","Treatment adjusted Prevalence","0.6189192237740329",,,,,,"2021","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.5833527664978211",,,,,,"2022","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.5733957975834173",,,,,,"2023","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.555199538058461",,,,,,"2024","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"HIV tests conducted and positivity, by sex","Den Age-Female Gte 15","185668",,,"validated","Females","15+","2024","Global AIDS Monitoring 2025","185668"
"HIV tests conducted and positivity, by sex","Per Age-Female Gte 15","1",,,"validated","Females","15+","2024","Global AIDS Monitoring 2025","1"
"HIV tests conducted and positivity, by sex","Den Age-Male Gte 15","95605",,,"validated","Males","15+","2024","Global AIDS Monitoring 2025","95605"
"HIV tests conducted and positivity, by sex","Per Age-Male Gte 15","1.4",,,"validated","Males","15+","2024","Global AIDS Monitoring 2025","1.4"
"HIV tests conducted and positivity, by sex","Den Age-All","281273",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","281273"
"HIV tests conducted and positivity, by sex","Per Age-All","1.1",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","1.1"
"HIV tests conducted and positivity at community level","Den Community-Community All","66328",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","66328"
"HIV tests conducted and positivity at community level","Per Community-Community All","0.5",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","0.5"
"HIV tests conducted and positivity at facility level","Den Facility-Facility Provider Init","31044",,,"validated","All sexes","All ages","2020","Global AIDS Monitoring 2021","31044"
"HIV tests conducted and positivity at facility level","Per Facility-Facility Provider Init","1.8",,,"validated","All sexes","All ages","2020","Global AIDS Monitoring 2021","1.8"
"HIV tests conducted and positivity at facility level","Den Facility-Facility Anc","33792",,,"validated","All sexes","All ages","2020","Global AIDS Monitoring 2021","33792"
"HIV tests conducted and positivity at facility level","Per Facility-Facility Anc","0.7",,,"validated","All sexes","All ages","2020","Global AIDS Monitoring 2021","0.7"
"HIV tests conducted and positivity at facility level","Den Facility-Facility Fp Clinic","593",,,"validated","All sexes","All ages","2020","Global AIDS Monitoring 2021","593"
"HIV tests conducted and positivity at facility level","Per Facility-Facility Fp Clinic","0.7",,,"validated","All sexes","All ages","2020","Global AIDS Monitoring 2021","0.7"
"HIV tests conducted and positivity at facility level","Den Facility-Facility All","149125",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","149125"
"HIV tests conducted and positivity at facility level","Per Facility-Facility All","1.4",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","1.4"
"HIV self-tests","Self Test Distributed-Data Value",,,,"validated","All sexes","All ages","2019","Global AIDS Monitoring 2020",
"HIV self-tests","Self Test Distributed-Data Value",,,,"validated","All sexes","All ages","2020","Global AIDS Monitoring 2021",
"HIV self-tests","Self Test Distributed-Data Value","590",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","590"
"HIV self-tests","Self Test Distributed-Data Value","11084",,,"validated","All sexes","All ages","2023","Global AIDS Monitoring 2024","11084"
"HIV self-tests","Self Test Distributed-Data Value","15198",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","15198"
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","220672.05598997703",,,,,,"2024","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","222290.58365469216",,,,,,"2025","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","224612.62201202614",,,,,,"2026","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","227048.10792832807",,,,,,"2027","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","229437.81087857738",,,,,,"2028","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","231805.13078960156",,,,,,"2029","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","234160.28240073004",,,,,,"2030","EIC and WHO HIV RDT Landscape Report 2024",
"Key Populations","HIV prevalence among sex workers","2.5",,,,,,"2024","UNAIDS KP-Atlas 2025","Source: Behavioral surveillance survey, 2024"
"Key Populations","HIV testing and status awareness among sex workers","87.9",,,,,,"2024","UNAIDS KP-Atlas 2025","Source: Behavioral surveillance survey, 2024"
"Key Populations","Number of HIV tests taken among sex workers","7782",,,,,,"2023","The Global Fund",
"Key Populations","HIV prevalence among men who have sex with men","27.2",,,,"Males",,"2024","UNAIDS KP-Atlas 2025","Source: Behavioral surveillance survey, 2024"
"Key Populations","HIV testing and status awareness among men who have sex with men","100",,,,"Males",,"2024","UNAIDS KP-Atlas 2025","Source: Behavioral surveillance survey, 2024"
"Key Populations","Number of HIV tests taken among men who have sex with men","6652",,,,,,"2023","The Global Fund",
"Key Populations","HIV prevalence among transgender people","51",,,,,,"2018","UNAIDS KP-Atlas 2025","Source: IBBSS with Population Size Estimation among MSM & TG"
"Key Populations","Number of HIV tests taken among transgender population","263",,,,,,"2023","The Global Fund",
