chart,indicator,value,value_lower,value_upper,value_comment,sex,age,year,source_database,notes
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","1190083.2",,,,,"15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","1230858.31",,,,,"15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","1250578.08",,,,,"15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","1278485.05",,,,,"15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","1072242.263","1020630.054","1146631.699",,,"15+","2015","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","1124113.367","1069995.366","1199830.278",,,"15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","1177018.759","1120752.484","1255950.254",,,"15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","1223538.211","1164258.792","1312004.4",,,"15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","1260173.194","1198881.925","1357802.888",,,"15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","1284374.259","1219548.946","1385872.608",,,"15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","1301080.071","1235411.834","1410616.06",,,"15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","1312719.545","1245296.129","1429192.162",,,"15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","1321596.883","1248396.899","1445078.417",,,"15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV - adults (aged 15+)","1330087.217","1251426.006","1459383.717",,,"15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","83.2130367987431","79.45669821001496","88.84957790314037",,"Females","15+","2015","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","84.56985384755038","80.58743272514636","90.1107051147896",,"Females","15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","87.53374697735462","83.49044216949326","93.1133905828235",,"Females","15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","91.24281568862386","86.76618964239255","97.70131845875957",,"Females","15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","92.2252469053364","87.37440063601923","100",,"Females","15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","92.26031818115437","87.44913568755568","100",,"Females","15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","92.4822986025154","87.75265492886079","100",,"Females","15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","94.03688658885436","88.97098916017653","100",,"Females","15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","94.94485611450867","89.63844790898605","100",,"Females","15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","95","91.06660913683112","100",,"Females","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","74.86780318998704","70.90966576117174","80.87855789472461",,"Males","15+","2015","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","77.03784455074522","72.78669386632505","83.11145748154554",,"Males","15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","80.83346780383818","76.60704674155454","87.63679714891556",,"Males","15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","85.72906652065792","81.211608994244","93.33001552624008",,"Males","15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","87.7018143765783","83.05634657545306","95.54018538783475",,"Males","15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","89.0673665157868","84.13043677931043","96.66960051087614",,"Males","15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","89.75923127003878","84.70569172865304","97.39402551214087",,"Males","15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","93.29889922673438","87.76928245092378","100",,"Males","15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","94.07852270599665","88.2094243977407","100",,"Males","15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","95","88.76571185829998","100",,"Males","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by age","aware","65.8645576965163","64.7242372602402","67.0112624523682",,"both","15-24","2015","Shiny90",
"PLHIV who know status - by age","aware","70.4655421732135","69.2798571314034","71.5148973011566",,"both","15-24","2016","Shiny90",
"PLHIV who know status - by age","aware","73.7378691798434","72.6881671609079","74.7702912752254",,"both","15-24","2017","Shiny90",
"PLHIV who know status - by age","aware","76.4739666673389","75.2600594119265","77.52353845237",,"both","15-24","2018","Shiny90",
"PLHIV who know status - by age","aware","76.3253463149708","75.3075691307875","77.269689068218",,"both","15-24","2019","Shiny90",
"PLHIV who know status - by age","aware","78.4742921625804","77.986130423207","78.9080932301618",,"both","15-24","2020","Shiny90",
"PLHIV who know status - by age","aware","77.8761471011552","77.4543597675331","78.2876691934695",,"both","15-24","2021","Shiny90",
"PLHIV who know status - by age","aware","84.80046224114291","84.80046224114291","84.80046224114291",,"both","15-24","2022","Shiny90",
"PLHIV who know status - by age","aware","84.4895640495682","84.1785651229201","84.8472095676712",,"both","15-24","2023","Shiny90",
"PLHIV who know status - by age","aware","88.8965540095106","88.8965540095106","88.8965540095106",,"both","15-24","2024","Shiny90",
"PLHIV who know status - by age","aware","81.07341172175289","80.1147162723222","81.9989281233439",,"both","25-34","2015","Shiny90",
"PLHIV who know status - by age","aware","82.6660871975462","81.70345271645","83.5429812556391",,"both","25-34","2016","Shiny90",
"PLHIV who know status - by age","aware","86.46415717446591","85.6537155673418","87.26963334891241",,"both","25-34","2017","Shiny90",
"PLHIV who know status - by age","aware","90.59021896749479","89.8851084724368","91.2324505179217",,"both","25-34","2018","Shiny90",
"PLHIV who know status - by age","aware","91.0776099533755","90.4267340845386","91.6576386248541",,"both","25-34","2019","Shiny90",
"PLHIV who know status - by age","aware","90.2844805713061","89.8260804732721","90.7358791720365",,"both","25-34","2020","Shiny90",
"PLHIV who know status - by age","aware","90.0723392777389","89.5949694007727","90.523563734411",,"both","25-34","2021","Shiny90",
"PLHIV who know status - by age","aware","91.9552147107337","91.7413823898296","92.3298594628789",,"both","25-34","2022","Shiny90",
"PLHIV who know status - by age","aware","93.1941528468784","92.8421600961971","93.5907058105645",,"both","25-34","2023","Shiny90",
"PLHIV who know status - by age","aware","94.7101565394166","94.4490027717675","95.0645975397746",,"both","25-34","2024","Shiny90",
"PLHIV who know status - by age","aware","83.4136295079959","82.6169270194104","84.0639016318901",,"both","35-49","2015","Shiny90",
"PLHIV who know status - by age","aware","84.0460250571037","83.2783126641925","84.6579127997439",,"both","35-49","2016","Shiny90",
"PLHIV who know status - by age","aware","86.8346407935625","86.1487402295044","87.4425669944933",,"both","35-49","2017","Shiny90",
"PLHIV who know status - by age","aware","91.0701241436402","90.4349227270095","91.5865910604662",,"both","35-49","2018","Shiny90",
"PLHIV who know status - by age","aware","92.8188692719119","92.2888063805159","93.2730458217349",,"both","35-49","2019","Shiny90",
"PLHIV who know status - by age","aware","93.4094493762118","92.958509625198","93.8136572161046",,"both","35-49","2020","Shiny90",
"PLHIV who know status - by age","aware","93.8891765552864","93.49808297619781","94.24184045464919",,"both","35-49","2021","Shiny90",
"PLHIV who know status - by age","aware","95","95.0637365308151","95.42101364412791",,"both","35-49","2022","Shiny90",
"PLHIV who know status - by age","aware","95","95.81887342740771","96.1946383491451",,"both","35-49","2023","Shiny90",
"PLHIV who know status - by age","aware","95","96.995652666764","97.0752055444351",,"both","35-49","2024","Shiny90",
"PLHIV who know status - by age","aware","80.7148468529194","80.101037971097","81.6097367078936",,"both","50-99","2015","Shiny90",
"PLHIV who know status - by age","aware","81.5266734372192","80.8611526752082","82.2354065820856",,"both","50-99","2016","Shiny90",
"PLHIV who know status - by age","aware","84.8525894492707","84.178265370064","85.5344544827485",,"both","50-99","2017","Shiny90",
"PLHIV who know status - by age","aware","89.8281375123784","89.1863115537128","90.3898109396151",,"both","50-99","2018","Shiny90",
"PLHIV who know status - by age","aware","92.3441106039422","91.79458297404621","92.8220620204211",,"both","50-99","2019","Shiny90",
"PLHIV who know status - by age","aware","93.6646095061891","93.3648917388828","94.0253108014439",,"both","50-99","2020","Shiny90",
"PLHIV who know status - by age","aware","94.69334252185419","94.4362983980952","94.9811543696693",,"both","50-99","2021","Shiny90",
"PLHIV who know status - by age","aware","95","96.5632667710669","96.5632667710669",,"both","50-99","2022","Shiny90",
"PLHIV who know status - by age","aware","95","97.2046048568767","97.3073324507571",,"both","50-99","2023","Shiny90",
"PLHIV who know status - by age","aware","95","98.03459817061841","98.1243710045554",,"both","50-99","2024","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","2041441.1556268393","1883683.6680710209","2206562.414751956",,"both","15-99","2015","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","2255310.30558885","2092077.8889459812","2430613.0100185405",,"both","15-99","2016","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","3704669.9565460226","3460772.547949099","4015274.038738447",,"both","15-99","2017","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","5769759.653249136","5373771.263789726","6228001.35359927",,"both","15-99","2018","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","4313216.4027865045","4004736.107714229","4692457.417868801",,"both","15-99","2019","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","2558826.030957209","2396399.383953519","2757598.228102943",,"both","15-99","2020","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","2370553.727839399","2204617.461084172","2546300.0604055617",,"both","15-99","2021","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","2958318.5928671923","2718795.5942012724","3215194.4491477013",,"both","15-99","2022","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","3829702.4485301194","3516755.6078926865","4149611.47679397",,"both","15-99","2023","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","retests_total","5613343.402977351","5133309.610600698","6069355.464358188",,"both","15-99","2024","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","374388.0783990073","350855.1016899356","397411.3330025237",,"both","15-99","2015","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","381551.9075420112","358915.3165701436","404619.5031057543",,"both","15-99","2016","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","515932.1563481374","493014.8931731503","544426.7954566068",,"both","15-99","2017","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","592454.9969814508","567958.702134898","618494.137772851",,"both","15-99","2018","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","407366.6963188592","386197.17379278765","431864.8407566946",,"both","15-99","2019","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","263792.955837196","248499.0647810228","281730.8792178491",,"both","15-99","2020","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","264895.056343443","249861.48196651204","280950.5740432247",,"both","15-99","2021","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","337076.68456081767","313930.56539082306","359741.7713965288",,"both","15-99","2022","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","417840.01527544856","390483.6097359635","443299.7320904091",,"both","15-99","2023","Shiny90",
"HIV-negative tests - first-time testers and repeat testers","tests_first","530605.3754250477","499136.3631673466","560109.7908167794",,"both","15-99","2024","Shiny90",
"HIV-positive tests - new diagnoses and retests","retests","112762.36069147827",,,,"both","15-99","2015","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","retests","108529.82491750036",,,,"both","15-99","2016","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","retests","145965.44420431112",,,,"both","15-99","2017","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","retests","191248.971001564",,,,"both","15-99","2018","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","retests","169141.48142463563",,,,"both","15-99","2019","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","retests","106355.8285260365",,,,"both","15-99","2020","(calculated)","based on retests_aware and retests_art indicator values"
"HIV-positive tests - new diagnoses and retests","retests","102798.20852927052",,,,"both","15-99","2021","(calculated)","based on retests_aware and retests_art indicator values"
